device_id,device_type,os,browser,device_fingerprint,first_seen,last_seen,city,country
DEV0000022,Mobile,iOS,Firefox,3732165e21246a9eead6d66cd636f0f0,2025-02-14T08:43:14.858107,2025-03-21T01:03:53.618633,Addis Ababa,Ethiopia
DEV0000023,Laptop,Ubuntu,Edge,72006e82959cefe8bf929eb04632a749,2023-10-20T22:55:56.533720,2025-10-11T02:52:51.371143,Addis Ababa,Ethiopia
DEV0000024,Laptop,Windows,Firefox,ee521dde9475a3f81099aa2ef50e669e,2023-07-30T06:57:02.613703,2025-05-18T20:53:42.686988,Adama,Ethiopia
DEV0000025,Mobile,Android,Safari,c408350d7e9ae2fdc2ba923f3ede8172,2023-10-18T19:02:08.194057,2024-04-15T20:12:26.913247,Hosaena,Ethiopia
DEV0000026,Tablet,iPadOS,Samsung Internet,10878423f18b47152a8997c2d4560e66,2025-06-19T23:23:53.466151,2025-12-09T03:07:47.816329,Jijiga,Ethiopia
DEV0000027,Mobile,Android,Edge,83186ec2d95bf53bfc082d36242dc5b0,2025-01-10T09:50:29.734514,2025-09-06T07:15:57.552948,Bahir Dar,Ethiopia
DEV0000028,Mobile,Android,Samsung Internet,40d9ca792735449f862af7ea2c7926dd,2023-02-26T22:33:17.857253,2024-05-05T21:36:14.551313,Dessie,Ethiopia
DEV0000029,Desktop,macOS,Samsung Internet,30168b2678c1b3e4392255cfbf3e608a,2022-07-28T15:19:07.450813,2025-04-11T21:08:03.596264,Debre Birhan,Ethiopia
DEV0000030,Mobile,Android,Safari,4f22e893849d12a44319c10bf1b7af92,2025-12-25T11:00:46.053441,2025-12-27T17:57:25.785897,Dire Dawa,Ethiopia
DEV0000031,Mobile,Android,Samsung Internet,9db36cd99b6ff41bff071f9afbc3c252,2025-07-31T11:52:51.688390,2025-09-13T10:24:53.174052,Debre Birhan,Ethiopia
DEV0000032,Tablet,Android,,63bb489cc7519df89053d6c51e704b08,2025-03-18T14:45:49.069438,2025-04-13T01:51:19.712679,Hawassa,Ethiopia
DEV0000033,Mobile,iOS,Opera,7938b47430bcc062041f52c4080fae7d,2022-05-11T15:10:43.390360,2022-06-07T01:42:06.448848,Nekemte,Ethiopia
DEV0000034,Mobile,iOS,Edge,ccad90837b847a7c340232b961b2c55c,2022-12-15T00:21:20.981704,2025-04-29T10:13:25.379541,Dessie,Ethiopia
DEV0000035,Mobile,Android,Opera,ae7b1b76d439ee90d7a8b2f44ad57e53,2023-11-22T12:55:17.490265,2024-04-02T11:34:23.743751,Adama,Ethiopia
DEV0000036,Mobile,Android,Firefox,3b9d3735b3cf24532b1e821d15d4bb17,2025-03-09T11:14:56.435575,2025-11-29T10:40:03.966582,Jimma,Ethiopia
DEV0000037,Laptop,Ubuntu,Safari,779efccc8d613da72c1992cbeff13755,2023-10-08T12:08:22.693193,2025-12-14T08:26:13.187213,Hawassa,Ethiopia
DEV0000038,Mobile,iOS,Samsung Internet,c25e33f7593520003ce1fa441ca45e28,2024-08-20T12:29:23.277124,2025-10-23T21:17:43.098444,Debre Birhan,Ethiopia
DEV0000039,Tablet,iPadOS,Samsung Internet,a1229352dae412368b1db12f16baa617,2023-10-31T12:03:01.220234,2023-11-12T17:06:45.724309,Dire Dawa,Ethiopia
DEV0000040,Laptop,Windows,Firefox,70611e8ba0961bee65d06da95e615953,2024-05-16T20:00:53.722974,2024-11-08T19:56:52.696205,Adama,Ethiopia
DEV0000041,Laptop,macOS,Chrome,732519fa288e5840b8bd8b2d88afb0d0,2023-11-06T06:05:52.075425,2024-08-20T14:45:44.212515,Addis Ababa,Ethiopia
DEV0000042,Desktop,Ubuntu,Opera,f48651d9c795449bf682de1aac645083,2022-01-30T21:45:54.868662,2022-05-05T18:26:58.684797,Addis Ababa,Ethiopia
DEV0000043,Laptop,macOS,Chrome,ec8221cac8abbc01b92920a24e46148c,2023-12-08T12:28:36.728773,2025-09-15T06:18:36.674733,Gondar,Ethiopia
DEV0000044,Mobile,Android,Safari,db2aca6d763d66d8d02abc96073b230d,2022-12-13T19:33:57.058729,2024-01-30T01:49:20.899878,Dire Dawa,Ethiopia
DEV0000045,Tablet,iPadOS,Safari,4a9b9220a47d44f55eb333a9a0ce71f4,2025-12-04T07:59:01.444205,2025-12-27T10:14:15.393625,Addis Ababa,Ethiopia
DEV0000046,Mobile,Android,,7b3020b7da5b2d52b2953d0189cca776,2022-06-27T13:23:58.301210,2022-09-07T10:29:46.618622,Addis Ababa,Ethiopia
DEV0000047,Mobile,Android,Edge,0a8ad7bb693a1083ea2f41d4c4fa3620,2025-02-05T10:30:04.610579,2025-07-05T17:01:44.589950,Addis Ababa,Ethiopia
DEV0000048,Mobile,Android,Chrome,d0d66df09c5d93711bd8a4debd572f53,2023-12-05T01:36:31.410666,2025-11-19T22:28:41.576291,Addis Ababa,Ethiopia
DEV0000049,Laptop,macOS,Opera,b7f501473aa74d444a73e74289db59e2,2025-11-06T10:04:13.317455,2025-12-09T17:59:24.687255,Arba Minch,Ethiopia
DEV0000050,Desktop,Windows,Safari,a12db164113fd0ed3a07e554dd3195ce,2023-05-05T23:34:21.701397,2025-11-29T22:43:03.373051,Shashamane,Ethiopia
DEV0000051,Laptop,Ubuntu,Opera,2f41698745941b1f443482818b4a69f7,2023-04-20T15:28:36.449326,2025-01-04T20:19:14.179667,Bahir Dar,Ethiopia
DEV0000052,Mobile,iOS,Chrome,d7cb1758aa58c0e2b0995ee1db090a2d,2024-01-14T04:50:34.110631,2024-07-20T04:16:57.096730,Addis Ababa,Ethiopia
DEV0000053,Mobile,iOS,Chrome,fada8a5247ae54d3bf1af2f370295e05,2025-08-28T00:56:54.045694,2025-11-26T03:22:42.178787,Bahir Dar,Ethiopia
DEV0000054,Mobile,Android,Safari,8d84ab3595161cf2119b893c5fba7156,2022-04-26T06:52:22.551869,2024-01-26T15:21:30.994127,Adama,Ethiopia
DEV0000055,Mobile,Android,Edge,769fa09e7a7c01103687d61b9ebef1a0,2022-01-26T13:32:22.633985,2022-11-24T22:06:47.040547,Addis Ababa,Ethiopia
DEV0000056,Mobile,iOS,Safari,4b1dee4c56c834de9d5a8512d94351cc,2024-02-22T21:38:09.593129,2024-05-13T07:50:14.052675,Addis Ababa,Ethiopia
DEV0000057,Mobile,Android,Chrome,1735a56fbd4e9676199e6f4698f3c8a1,2022-12-09T19:25:36.886467,2025-01-08T07:50:52.094909,Sodo,Ethiopia
DEV0000058,Mobile,Android,Chrome,d04b89177221dfd74846c5facb78033f,2022-09-04T20:51:31.594929,2024-01-27T04:21:46.455118,Bahir Dar,Ethiopia
DEV0000059,Mobile,Android,Opera,4aca13c7d0b059148d5de97a905462ec,2024-02-21T11:19:11.103470,2024-04-12T20:55:19.479789,Jimma,Ethiopia
DEV0000060,Laptop,Windows,Chrome,cf36c17b54c14064f1a69c9d148c6ab1,2024-04-22T03:23:27.015122,2025-06-07T13:53:06.786329,Addis Ababa,Ethiopia
DEV0000061,Laptop,Windows,Chrome,6a3937b6542519ef38905ea22e33c014,2025-12-17T09:42:24.199788,2025-12-30T08:15:43.606513,Bahir Dar,Ethiopia
DEV0000062,Desktop,macOS,,a877388ad25c7a25db3874a7d39073c2,2022-06-16T08:08:09.935935,2024-12-14T21:14:22.306223,Dire Dawa,Ethiopia
DEV0000063,Mobile,Android,,14068ab04533269fc3eb1733ff282e9d,2022-04-25T00:54:44.664279,2024-02-10T10:56:07.428800,Adama,Ethiopia
DEV0000064,Mobile,Android,Firefox,9df04298e7413478cf9053f0dd1e1019,2024-09-14T06:00:02.527016,2025-03-08T04:43:34.263175,Bishoftu,Ethiopia
DEV0000065,Mobile,Android,Firefox,1f8b029b8a259b9aff25b1a4dda753c4,2024-12-18T11:18:20.007846,2025-07-05T02:20:29.551347,Dessie,Ethiopia
DEV0000066,Mobile,iOS,Firefox,389acb84a1c57401983e44bc26ef5813,2022-01-05T01:15:35.771392,2022-07-14T12:06:49.650260,Shashamane,Ethiopia
DEV0000067,Laptop,macOS,Firefox,9cccc6e0db7086e43df7ed997b46f28d,2025-05-24T08:56:04.277644,2025-08-21T05:46:00.107538,Addis Ababa,Ethiopia
DEV0000068,Tablet,Android,Chrome,c528937f3c3bd47b9a9eeb0764645212,2023-05-04T18:12:56.542218,2025-02-19T12:28:05.601366,Sodo,Ethiopia
DEV0000069,Laptop,Ubuntu,Opera,0a89736c77b3e7ea84454b2b914e8444,2022-02-28T05:15:59.932858,2022-05-03T21:46:27.421664,Addis Ababa,Ethiopia
DEV0000070,Laptop,Windows,Samsung Internet,012a430a06d37b5650a3478b4936a47b,2024-03-27T23:58:14.240721,2024-06-14T10:06:14.987970,Arba Minch,Ethiopia
DEV0000071,Mobile,iOS,Chrome,94fda67e9a2c60c43ab55802b43bdecd,2022-10-26T11:41:56.327641,2025-08-25T22:28:57.221381,Jimma,Ethiopia
DEV0000072,Mobile,Android,Opera,535970d1ca08bed95f51be6e48931b34,2022-02-25T13:14:49.946052,2024-09-13T12:34:58.292335,Adama,Ethiopia
DEV0000073,Desktop,Windows,,857e4bc5bcfd87d7924fb2b292d4d899,2022-10-21T10:12:34.680860,2025-08-16T05:41:49.571903,Hosaena,Ethiopia
DEV0000074,Tablet,iPadOS,,ed4329f65c00c7ce111a1da97e908058,2025-01-28T19:48:02.851448,2025-09-24T13:25:21.651335,Dire Dawa,Ethiopia
DEV0000075,Mobile,Android,Safari,49b433b746b4a7c040b033b49d935bf3,2022-08-07T20:55:08.329563,2025-10-05T11:26:47.948101,Addis Ababa,Ethiopia
DEV0000076,Mobile,iOS,Safari,549bc2f4f0c1b3039fd586e28f658ac9,2022-12-26T11:37:43.115430,2023-12-06T00:31:57.313785,Addis Ababa,Ethiopia
DEV0000077,Laptop,Windows,Opera,244b9789ea798cd430f2274ee18e15b7,2024-08-08T23:37:42.473979,2024-10-27T06:45:49.541570,Bishoftu,Ethiopia
DEV0000078,Tablet,iPadOS,Chrome,0590d855e5a073d9e1ec11590d12897c,2024-07-28T09:31:00.682731,2025-06-25T15:41:12.985053,Harar,Ethiopia
DEV0000079,Desktop,Ubuntu,Safari,d4bb32c73d082a2e0b3fdcbb29d89291,2024-06-03T01:50:22.169531,2025-06-01T13:44:12.291557,Mekelle,Ethiopia
DEV0000080,Mobile,iOS,Samsung Internet,c492a7d365046355ddeed3f092b79261,2023-01-30T15:53:25.742544,2025-02-24T02:42:25.998465,Jimma,Ethiopia
DEV0000081,Mobile,iOS,,0a2ecfd552d73cf26c0c9ee7dc8e082b,2024-05-10T22:51:34.678991,2025-10-25T13:17:59.820007,Gondar,Ethiopia
DEV0000082,Tablet,iPadOS,Chrome,7c14c0b83ae9151f505f2a04d9f1b9b0,2025-01-15T18:38:02.750850,2025-12-04T06:22:21.887420,Gondar,Ethiopia
DEV0000083,Desktop,macOS,Opera,433e1175bab7f937eaa40281c25ebb1c,2025-11-21T18:45:15.716981,2025-12-20T14:38:14.929514,Bahir Dar,Ethiopia
DEV0000084,Desktop,macOS,,c66206e274f5bcbc4fe18ad6bc3d1b56,2023-03-23T10:59:07.761026,2025-07-20T02:19:58.650859,Addis Ababa,Ethiopia
DEV0000085,Tablet,iPadOS,Samsung Internet,32d210a1e40d1c7ae77c6a9fd15b1c60,2022-10-31T21:10:51.593656,2024-07-20T02:11:19.776364,Dire Dawa,Ethiopia
DEV0000086,Desktop,Ubuntu,Chrome,83e23dc227eb45fd313cee282af72f7f,2024-12-13T21:49:43.024818,2024-12-25T16:29:39.941780,Addis Ababa,Ethiopia
DEV0000087,Laptop,Windows,Chrome,04a02a58310289d9e831505f13dd0444,2025-06-16T05:29:02.095538,2025-12-19T06:14:01.237083,Addis Ababa,Ethiopia
DEV0000088,Tablet,iPadOS,Opera,0b395ddf50064ec84760b173417552cc,2024-10-18T06:48:13.270711,2025-01-15T08:25:38.052660,Dire Dawa,Ethiopia
DEV0000089,Laptop,Ubuntu,Firefox,782b95c25b1be962f140615b029b739e,2023-03-06T17:06:57.196288,2025-11-19T10:49:24.646420,Mekelle,Ethiopia
DEV0000090,Mobile,iOS,Firefox,1ec94a7e1f56eddc5512cd23676398f4,2024-02-11T21:21:55.319254,2025-10-02T20:59:02.783829,Gondar,Ethiopia
DEV0000091,Mobile,iOS,Firefox,cf09c858068e6d53e39dea44d67c615a,2023-10-13T05:15:56.513772,2024-10-08T15:04:17.639576,Shashamane,Ethiopia
DEV0000092,Mobile,iOS,,7f248c78423b44f1f2e8a751d368a4e1,2023-07-11T03:15:43.619665,2023-10-20T14:53:47.352145,Jijiga,Ethiopia
DEV0000093,Mobile,Android,Chrome,1e2916c9ae651799102a152485a966b9,2025-09-03T19:51:54.824177,2025-11-29T10:17:46.860085,Addis Ababa,Ethiopia
DEV0000094,Mobile,Android,Opera,8afd3ba54ac6167a28539c32e550bc9c,2025-11-11T05:21:48.077404,2025-11-25T19:17:17.150426,Addis Ababa,Ethiopia
DEV0000095,Mobile,Android,Firefox,1a8def61bafdad6475ae7e9f85055f7e,2022-06-16T17:02:15.409029,2023-09-30T04:13:57.698159,Harar,Ethiopia
DEV0000096,Mobile,Android,Edge,0659e47acff3a00397c878b76155a7dc,2023-01-05T23:25:24.478108,2025-08-01T12:32:19.571686,Addis Ababa,Ethiopia
DEV0000097,Mobile,iOS,Safari,bffa54f52ecfe09e3b34d6216eb9aee7,2022-07-05T16:11:48.139183,2023-05-06T17:52:51.972624,Addis Ababa,Ethiopia
DEV0000098,Mobile,Android,Chrome,91c76f4e7200fc61de61d0333e506280,2022-06-09T14:09:08.562219,2023-12-19T14:07:03.795317,Addis Ababa,Ethiopia
DEV0000099,Mobile,Android,Samsung Internet,5ed53b0785fc9f11907ad596aea3f2d5,2022-10-30T10:45:25.465352,2025-01-03T20:07:27.902670,Harar,Ethiopia
DEV0000100,Laptop,Windows,Opera,755e6c45ba0ad8dd83327d35a3e07ae4,2023-10-08T02:37:05.098994,2025-06-22T21:11:55.174968,Shashamane,Ethiopia
DEV0000101,Mobile,iOS,,c335da13edb4a23e32a8b85c82f9c92b,2024-09-03T11:14:51.915237,2024-10-21T08:07:26.317740,Jijiga,Ethiopia
DEV0000102,Desktop,Ubuntu,Samsung Internet,654efe919b4aca4a97682988fc1fb95f,2024-07-30T10:10:54.135617,2025-01-21T13:01:01.975778,Harar,Ethiopia
DEV0000103,Laptop,macOS,Edge,81fd212ffe456576a0ea9f6482e79410,2025-05-08T22:13:19.175037,2025-11-23T23:59:39.997510,Addis Ababa,Ethiopia
DEV0000104,Mobile,Android,Safari,600fb5e70b9ea850a63141083372b203,2022-05-06T00:31:18.739392,2022-06-02T23:12:57.871886,Addis Ababa,Ethiopia
DEV0000105,Laptop,macOS,Samsung Internet,f3be137366f70327e4c42f04227bb5f4,2022-10-20T11:42:27.408592,2024-01-01T18:54:31.948500,Harar,Ethiopia
DEV0000106,Mobile,iOS,Safari,6a814a718c7d1e71efaa06cfcd090126,2023-09-07T22:25:35.859999,2024-02-08T04:42:59.210069,Gondar,Ethiopia
DEV0000107,Mobile,Android,Safari,288c0a994eb846427147cb6590a92bb5,2024-08-08T12:59:00.064818,2025-10-26T19:03:14.351297,Bishoftu,Ethiopia
DEV0000108,Desktop,Windows,Safari,dc435d58857a59b5b31e0c3f3685ca08,2023-03-08T21:54:48.668604,2024-04-28T10:07:04.537239,Jijiga,Ethiopia
DEV0000109,Mobile,Android,Samsung Internet,574554242aa39ec216838beb0e66e517,2025-09-25T00:28:36.582717,2025-10-28T09:59:22.815028,Shashamane,Ethiopia
DEV0000110,Tablet,iPadOS,Opera,11ce703ac60541ed334f348918825510,2023-08-18T13:15:18.432326,2024-02-25T12:06:25.006013,Addis Ababa,Ethiopia
DEV0000111,Laptop,Windows,Samsung Internet,9f4d5b8612781dd104862a14f773594d,2025-06-25T00:25:54.993334,2025-10-11T11:22:17.921264,Bahir Dar,Ethiopia
DEV0000112,Desktop,macOS,Safari,5e45df5d5747974de986077a58fca737,2023-06-11T10:07:10.667115,2025-02-16T20:05:38.537981,Addis Ababa,Ethiopia
DEV0000113,Desktop,macOS,Edge,2a580a83f2f32583f2fee656c4c42624,2023-09-06T12:53:50.310332,2025-09-19T08:26:35.686124,Addis Ababa,Ethiopia
DEV0000114,Mobile,iOS,Chrome,77a617622a471e6b3cdf4f88735508d0,2024-02-12T08:06:29.707711,2024-09-14T14:16:17.955917,Shashamane,Ethiopia
DEV0000115,Mobile,Android,,ffb98bcec411b786f23734545a6ebb11,2024-11-19T06:47:13.619771,2025-10-02T03:01:00.709465,Asella,Ethiopia
DEV0000116,Desktop,Windows,,012bab673069190e8de81a9c0870ea75,2023-04-15T16:23:40.675272,2025-06-28T15:39:15.337240,Addis Ababa,Ethiopia
DEV0000117,Mobile,iOS,Safari,f82f3081054fec6c6bb64622a604839d,2022-02-18T05:47:47.176572,2023-02-21T03:03:19.297369,Dessie,Ethiopia
DEV0000118,Mobile,iOS,Chrome,5c4c4bd45635861532323b630f237c83,2022-10-29T13:00:38.420556,2024-10-07T17:50:05.661100,Jimma,Ethiopia
DEV0000119,Mobile,iOS,Opera,1a4b36c937845d625083403d0ac50ce8,2024-08-31T06:44:01.520902,2024-12-07T07:41:33.026273,Dire Dawa,Ethiopia
DEV0000120,Desktop,macOS,Samsung Internet,01d5516b642af81fba4366d047673940,2025-09-01T23:26:24.403492,2025-12-06T13:19:04.942906,Gondar,Ethiopia
DEV0000121,Mobile,iOS,Opera,5a72720d197e86392ee941dae0d5f566,2025-02-18T07:15:56.826536,2025-07-21T06:39:18.058133,Addis Ababa,Ethiopia
DEV0000122,Mobile,Android,Chrome,82fc99a42c53ffffb676847887b018bd,2024-01-16T09:02:21.340701,2025-03-31T18:54:49.257717,Addis Ababa,Ethiopia
DEV0000123,Tablet,Android,Firefox,14db60f75bda857838fe377e35054013,2023-05-08T12:57:57.698394,2025-09-07T22:38:35.726658,Gondar,Ethiopia
DEV0000124,Mobile,iOS,Opera,b1bd2e5625185f04541446e1632cb50c,2025-06-26T04:48:35.376484,2025-07-26T01:00:07.210550,Nekemte,Ethiopia
DEV0000125,Mobile,Android,Safari,08916fa91c37e64b0556c50318f71fe2,2024-03-19T15:41:37.668828,2024-07-02T11:58:23.742200,Hawassa,Ethiopia
DEV0000126,Desktop,Windows,Samsung Internet,91e809081ab3c95d2ab9b07497e86281,2024-02-20T22:24:49.280606,2024-12-25T22:12:23.255545,Addis Ababa,Ethiopia
DEV0000127,Mobile,iOS,Safari,079647224aec7ce7ca6a122e5cc68f36,2025-06-03T10:48:20.992782,2025-09-27T16:48:57.751159,Addis Ababa,Ethiopia
DEV0000128,Laptop,Windows,Opera,fe40588f4a54756d0156665d28ccb5c5,2022-10-08T18:45:43.494892,2024-08-03T08:07:21.248743,Addis Ababa,Ethiopia
DEV0000129,Tablet,Android,Safari,321bed2ae04260bbb81983332f4c193a,2024-02-26T03:23:33.487665,2024-06-06T19:47:08.815454,Sodo,Ethiopia
DEV0000130,Mobile,Android,Chrome,6fbb9266b47c0e21832040ed69d251dc,2022-01-16T00:57:12.934214,2024-12-18T04:30:09.407896,Addis Ababa,Ethiopia
DEV0000131,Mobile,iOS,,19668422a2d681196206d176647fa5fd,2024-11-12T20:23:34.202671,2025-06-10T22:37:33.096133,Dire Dawa,Ethiopia
DEV0000132,Laptop,Ubuntu,Firefox,d0871cc06f438f263cfbf4afbcba5d20,2024-11-22T15:35:09.033393,2025-08-12T14:22:24.263393,Gondar,Ethiopia
DEV0000133,Mobile,iOS,Firefox,1ca9519e531e9fa8c07e614ca8c5657d,2024-07-22T14:44:31.145195,2024-09-14T04:09:26.625463,Addis Ababa,Ethiopia
DEV0000134,Tablet,Android,Firefox,3069882013fca34eababd7e73d89091b,2023-09-01T10:13:56.042710,2023-11-30T18:41:10.562235,Bishoftu,Ethiopia
DEV0000135,Mobile,iOS,Chrome,2813910536ef38e092c4afd9209c2e80,2025-12-08T08:18:27.617635,2025-12-12T10:12:49.323296,Shashamane,Ethiopia
DEV0000136,Laptop,Windows,Chrome,daffe7a67fd3184fda10ee79eaaa8ada,2023-02-22T06:55:28.252195,2023-07-07T21:32:50.336656,Addis Ababa,Ethiopia
DEV0000137,Mobile,iOS,,56705d410b88bac55a1042c888a24f62,2025-09-30T21:52:36.876995,2025-10-05T19:13:03.151317,Bishoftu,Ethiopia
DEV0000138,Mobile,iOS,Edge,150d47a2cb87a0add5aff370a8452325,2023-10-11T13:29:46.924650,2024-01-29T05:28:53.508978,Gondar,Ethiopia
DEV0000139,Mobile,Android,Chrome,750314c81049d7c82d7f625ec2f9868a,2025-01-14T20:29:58.450073,2025-03-12T10:30:56.325900,Dire Dawa,Ethiopia
DEV0000140,Laptop,macOS,Firefox,aaa4a546e8e5c4ef14bc0b3dbb515394,2023-08-28T13:41:08.482919,2025-09-10T23:52:20.364166,Jimma,Ethiopia
DEV0000141,Mobile,Android,Opera,46146319d8bc5844985d33684fadd338,2025-10-30T15:06:39.260847,2025-11-04T22:38:00.629238,Sodo,Ethiopia
DEV0000142,Mobile,Android,Safari,076cd0c65eeddce905de869e660f112a,2025-06-19T15:13:32.510450,2025-08-02T13:58:54.656456,Addis Ababa,Ethiopia
DEV0000143,Laptop,Windows,Safari,9a5c1152b8ba1538969357c329777c8e,2022-03-28T10:26:12.711879,2025-10-24T08:50:32.854636,Addis Ababa,Ethiopia
DEV0000144,Tablet,iPadOS,Chrome,c9ba992141b29925ca8934271a65ce4d,2025-10-07T19:21:45.762378,2025-11-13T01:18:34.557036,Addis Ababa,Ethiopia
DEV0000145,Mobile,Android,Firefox,d290e7f24936879bd3213decf93657f7,2024-08-09T16:47:06.108387,2025-02-16T10:52:08.244764,Jimma,Ethiopia
DEV0000146,Mobile,Android,Samsung Internet,1c69438ad77d8c6acc00a4930d27a356,2022-04-01T15:55:26.686200,2024-09-06T19:43:17.336374,Gondar,Ethiopia
DEV0000147,Mobile,Android,,2a7986ffaae14b4ea3f6262bc79d612a,2024-01-02T17:34:17.582210,2024-02-08T15:33:35.505494,Harar,Ethiopia
DEV0000148,Mobile,iOS,Safari,42b7a5f663bc8b3addbde0c11e025023,2024-08-06T05:36:02.096676,2024-08-29T00:54:38.874958,Dire Dawa,Ethiopia
DEV0000149,Mobile,iOS,Chrome,835ba1604500d008c487f1dd0b83ead1,2025-08-02T08:34:56.342702,2025-10-16T15:03:19.247136,Adama,Ethiopia
DEV0000150,Mobile,iOS,Edge,ad7b12d6c8ebf359bab1959b27eb1044,2023-06-13T02:26:18.441561,2025-04-10T13:31:21.265948,Gondar,Ethiopia
DEV0000151,Mobile,Android,Firefox,bc9c7ea3198ee71892be15ca12c7da46,2025-04-10T23:49:08.890349,2025-10-13T17:36:47.961699,Shashamane,Ethiopia
DEV0000152,Laptop,Windows,Samsung Internet,d3becdfa76e87beb2da8d21c26a2745f,2025-09-18T09:40:22.452070,2025-11-19T01:34:00.316036,Addis Ababa,Ethiopia
DEV0000153,Mobile,iOS,Samsung Internet,203c2bba0126121eac3dbecdf4fddc8f,2023-06-17T01:23:28.422238,2024-07-02T09:13:01.740455,Hawassa,Ethiopia
DEV0000154,Mobile,Android,Firefox,c8e647444a8a15afda8f05b19ce9f9cf,2022-04-27T22:13:11.634798,2024-09-24T16:49:04.305334,Hosaena,Ethiopia
DEV0000155,Mobile,Android,Safari,afbdf86bf7a08db4317e5ac1437e8453,2024-05-06T10:20:11.855925,2024-05-26T12:57:07.708321,Nekemte,Ethiopia
DEV0000156,Mobile,Android,Samsung Internet,dcb8d2400f3033d6229c59ba3e4025ad,2024-06-02T22:07:33.220868,2025-01-26T09:08:43.171644,Dire Dawa,Ethiopia
DEV0000157,Laptop,Windows,Safari,366be86fd38bac4defd56e06e3ebb556,2022-12-24T17:41:25.893868,2024-11-15T07:07:52.045746,Addis Ababa,Ethiopia
DEV0000158,Laptop,macOS,Edge,488ab29fb52f19badd7b90fce1437ded,2025-10-13T18:17:57.280778,2025-10-20T02:14:16.655146,Jimma,Ethiopia
