ground_truth_id,entity_type,entity_id,behavior_type,risk_pattern,is_anomalous,severity,pattern_start,pattern_end,related_entity_ids
GT00027,Account,ACC0050778,smurfing,FRAUD_MEDIUM,true,medium,2023-05-22,2023-06-28,P002224|TX00000228|P004259|TX00007010|P002399|TX00002453
GT00028,Account,ACC0010497,false_invoice,AML_HIGH,true,critical,2022-09-03,,TX00009296|TX00003281|P001539|TX00003436|TX00002503
GT00029,Person,P070839,smurfing,FRAUD_HIGH,true,critical,2023-08-08,2023-09-02,P000611|TX00000612
GT00030,Person,P017988,round_tripping,FRAUD_HIGH,true,high,2024-04-07,,TX00001276|TX00007406|P004833|TX00009974|TX00000659|P004242|P004144|TX00009098
GT00031,Account,ACC0072159,normal,NORMAL,false,info,2023-08-08,2024-02-03,TX00007737|TX00003269|TX00008171
GT00032,Person,P065244,layering,AML_HIGH,true,high,2023-06-26,,TX00008732|TX00002008|TX00001175|P002612|TX00002199|TX00008057|P003720|P003603
GT00033,Person,P034186,shell_company,FRAUD_HIGH,true,low,2023-02-15,2023-06-22,P001958|TX00005997|P001519|TX00005805|TX00001252|P004743
GT00034,Account,ACC0016714,false_invoice,FRAUD_HIGH,true,critical,2023-06-14,2023-07-18,TX00005368|TX00002877|P002594|TX00002731|TX00003463|TX00001369|TX00007108|TX00009759
GT00035,Account,ACC0006363,normal,NORMAL,false,info,2025-02-09,,P003182|TX00003312|TX00006869|P003354
GT00036,Account,ACC0068558,structuring,FRAUD_HIGH,true,medium,2025-01-05,,P004053|P000403|P002929|P004744|TX00004046|TX00003070
GT00037,Account,ACC0124791,normal,NORMAL,false,info,2022-08-19,2022-10-23,TX00001487|P001263|P002016|P001078|P000877|P003100|TX00004943|P003748
GT00038,Account,ACC0059075,normal,NORMAL,false,info,2023-12-11,2024-02-19,TX00006345|TX00008269|P003534|P001506|TX00009623|TX00007812|P000726|TX00008157
GT00039,Account,ACC0104140,shell_company,AML_MEDIUM,true,low,2024-02-29,2024-04-21,TX00002526|P004720|TX00008178|P000522|P004727|TX00003919|TX00005997
GT00040,Account,ACC0141026,normal,NORMAL,false,info,2024-11-13,2024-12-18,TX00004404|P003085|TX00004316|P002407
GT00041,Account,ACC0047464,structuring,AML_LOW,true,low,2022-05-02,2022-09-08,TX00002431|TX00004625|P004886|P002136|TX00002879
GT00042,Account,ACC0008295,structuring,AML_LOW,true,medium,2025-06-08,2025-10-02,TX00002749|TX00000288|TX00004193|TX00000482|P004605
GT00043,Account,ACC0109806,false_invoice,AML_HIGH,true,medium,2025-12-28,2026-01-01,TX00007345|TX00007967|P003889|P004126|TX00009924|TX00005142
GT00044,Account,ACC0096370,structuring,FRAUD_MEDIUM,true,critical,2024-03-06,,P003220|TX00007541|P004085|TX00009461|TX00001121
GT00045,Account,ACC0056557,false_invoice,AML_HIGH,true,low,2024-03-30,2024-06-23,TX00005197|P003078|TX00000223|TX00001935|TX00008954
GT00046,Person,P022298,smurfing,AML_LOW,true,high,2024-06-03,2024-06-15,TX00005208|TX00007838|TX00000497|TX00000920|P001595|TX00004670|P002358
GT00047,Person,P083660,round_tripping,AML_HIGH,true,critical,2025-08-01,2025-12-06,P003630|TX00005313|TX00005446|TX00005130|P000487|TX00002386|TX00001004|TX00000346
GT00048,Person,P084136,false_invoice,AML_MEDIUM,true,critical,2025-02-23,,P003776|TX00007868|P002695|TX00001567|TX00004667|TX00004614|TX00004008|TX00005717
GT00049,Account,ACC0017200,normal,NORMAL,false,info,2022-09-09,,TX00001021|TX00008835|TX00002846|P000719|TX00009078|TX00007892|TX00003816
GT00050,Person,P047797,structuring,AML_HIGH,true,low,2023-05-07,2023-11-01,P002193|TX00008964|TX00002259|TX00008906|TX00006034
GT00051,Account,ACC0024882,structuring,FRAUD_MEDIUM,true,high,2023-06-04,,P004344|P000370|P003176|P000962|TX00000895|P004640|TX00007989|TX00000841
GT00052,Person,P090221,structuring,AML_LOW,true,critical,2022-09-15,,TX00008457|TX00008982|TX00008068
GT00053,Account,ACC0147298,layering,AML_HIGH,true,low,2025-12-28,,TX00004250|TX00001686|TX00005526|P001502|TX00000384|P002269|P002097
GT00054,Account,ACC0136389,rapid_movement,AML_HIGH,true,high,2025-08-20,,TX00005066|TX00007159|TX00006833|P000350|TX00002319|TX00004474
GT00055,Person,P065678,normal,NORMAL,false,info,2022-04-01,,P003656|P002625|P002431|P003335|TX00001148|TX00006126|P003824
GT00056,Account,ACC0030824,shell_company,AML_HIGH,true,medium,2024-08-19,,P002528|TX00009391|TX00006309|P004542|TX00009566|P000951|P003266|TX00009113
GT00057,Person,P077007,shell_company,AML_HIGH,true,low,2024-01-05,2024-05-13,TX00002090|P000615|TX00007239|TX00001531|TX00001479|TX00000796
GT00058,Account,ACC0019526,round_tripping,AML_MEDIUM,true,high,2024-12-02,2025-03-07,P003442|P004530
GT00059,Account,ACC0127128,false_invoice,AML_HIGH,true,low,2025-06-29,,TX00006051|TX00008728|TX00005573|TX00003020
GT00060,Account,ACC0020080,structuring,AML_HIGH,true,high,2025-06-07,,TX00004038|P003207|TX00006199
GT00061,Account,ACC0142806,round_tripping,FRAUD_HIGH,true,high,2023-04-24,2023-05-06,TX00008241|TX00009733|TX00006226|TX00000852|TX00009321
GT00062,Person,P023851,false_invoice,AML_MEDIUM,true,critical,2022-01-21,,P001486|TX00008068|TX00009860|P001926
GT00063,Person,P098550,normal,NORMAL,false,info,2022-11-16,2023-04-13,TX00000122|P002970
GT00064,Account,ACC0004998,smurfing,AML_LOW,true,critical,2024-08-08,,P002430|TX00007237|TX00005287|TX00005545|P002734
GT00065,Person,P072486,round_tripping,FRAUD_MEDIUM,true,critical,2023-10-21,2024-01-10,TX00002011|P004112|TX00009145|TX00006392|P003274
GT00066,Person,P060488,shell_company,AML_MEDIUM,true,medium,2024-09-06,2025-03-01,P004802|TX00009805|P000257
GT00067,Account,ACC0094169,false_invoice,FRAUD_HIGH,true,medium,2025-11-07,2026-01-01,P001022|TX00006276|P003171
GT00068,Person,P093082,smurfing,AML_HIGH,true,high,2023-11-10,2023-11-29,TX00002870|TX00001668|TX00009061
GT00069,Person,P035934,normal,NORMAL,false,info,2023-09-06,2023-11-09,TX00005892|P004595
GT00070,Account,ACC0102905,layering,AML_HIGH,true,critical,2023-02-24,,P001484|P000505|TX00000889|TX00006252|P003868
GT00071,Account,ACC0083024,normal,NORMAL,false,info,2024-03-29,,P000115|TX00001788|TX00009452|TX00000304|P001792|TX00009039|TX00005133|TX00002825
GT00072,Account,ACC0115422,round_tripping,AML_MEDIUM,true,low,2022-04-24,2022-08-22,TX00009495|TX00005385|TX00007094|TX00007664|P002950
GT00073,Person,P087600,shell_company,AML_MEDIUM,true,low,2024-05-18,,P003789|TX00004821|P002817
GT00074,Person,P053398,rapid_movement,AML_LOW,true,medium,2025-05-14,,TX00003356|TX00000497|TX00006027|TX00002938
GT00075,Person,P043858,false_invoice,FRAUD_MEDIUM,true,critical,2025-10-26,2025-12-30,TX00009541|P002669|P003876|TX00006001
GT00076,Account,ACC0033881,round_tripping,FRAUD_MEDIUM,true,low,2025-04-06,,TX00004733|TX00000788|TX00002572|TX00004361
GT00077,Account,ACC0009384,normal,NORMAL,false,info,2024-10-21,2025-02-16,TX00007853|P003363|P004383|TX00007569|P002775|TX00007322
GT00078,Person,P086401,layering,FRAUD_MEDIUM,true,critical,2025-11-29,,TX00002143|TX00002202|P002207
GT00079,Person,P019861,smurfing,AML_HIGH,true,low,2025-02-26,2025-05-11,TX00004695|TX00000158|TX00004807|P000308
GT00080,Person,P055999,layering,AML_HIGH,true,medium,2024-02-24,,TX00001110|TX00000435|TX00008415|TX00006640|P003412|TX00005183
GT00081,Person,P071528,layering,AML_MEDIUM,true,critical,2025-10-26,2026-01-01,TX00006564|TX00003368|TX00003419|P001951|P000864|P000138|P003829
GT00082,Company,C08831,round_tripping,AML_HIGH,true,critical,2023-04-11,,TX00009528|TX00003533
GT00083,Account,ACC0092038,normal,NORMAL,false,info,2023-12-27,2024-03-11,TX00009501|P002313|TX00007989|P002164|TX00000921|P002996|P001098
GT00084,Account,ACC0076055,layering,AML_MEDIUM,true,critical,2025-10-13,2026-01-01,TX00003979|TX00009200|TX00001892|TX00005704|TX00002470
GT00085,Account,ACC0132627,layering,AML_LOW,true,high,2023-10-04,2024-01-11,TX00006187|TX00007068
GT00086,Account,ACC0136843,rapid_movement,FRAUD_HIGH,true,medium,2025-02-26,2025-03-05,TX00009612|TX00002522|TX00006384|P002850|P002456|P004954|P003880|TX00006003
GT00087,Account,ACC0048502,structuring,FRAUD_HIGH,true,high,2023-04-04,2023-07-10,TX00004764|TX00004971|P004913|TX00004490|TX00003418|TX00001565
GT00088,Person,P014821,normal,NORMAL,false,info,2023-09-02,2023-09-14,TX00004103|TX00008683|TX00005776|TX00000816|TX00007952
GT00089,Account,ACC0006407,normal,NORMAL,false,info,2022-01-21,2022-02-16,TX00004319|TX00005056|TX00001491
GT00090,Account,ACC0088519,smurfing,AML_HIGH,true,medium,2022-07-11,,P003054|P002063|P003089|TX00002216|TX00002666|P004134
GT00091,Company,C00833,rapid_movement,FRAUD_HIGH,true,medium,2022-12-08,,TX00008666|TX00006352
GT00092,Account,ACC0034324,shell_company,FRAUD_HIGH,true,medium,2022-08-28,,TX00007133|TX00002570|TX00007320|TX00008486|P004635|TX00000301
GT00093,Person,P039354,structuring,FRAUD_HIGH,true,high,2025-12-15,2026-01-01,TX00006895|TX00008403|TX00009188|P003008|P003209|TX00000924|P002828
GT00094,Account,ACC0008477,layering,AML_HIGH,true,critical,2023-04-26,2023-06-02,P000091|P000654|P001171|P003047
GT00095,Person,P048723,layering,AML_HIGH,true,low,2025-08-18,,P001651|P002674|TX00002315|P004440|TX00001741|TX00007732
GT00096,Account,ACC0034833,layering,AML_LOW,true,medium,2022-04-08,,P002249|TX00003778|TX00006358|TX00003815
GT00097,Account,ACC0133023,smurfing,AML_HIGH,true,low,2023-10-02,2023-11-15,TX00006184|TX00008410|TX00005506
GT00098,Account,ACC0143599,structuring,AML_HIGH,true,critical,2023-07-18,2023-09-14,TX00008727|TX00006538|TX00007155
GT00099,Account,ACC0049169,normal,NORMAL,false,info,2025-09-30,2026-01-01,TX00002031|TX00009264|TX00000755|TX00006876|TX00007267
GT00100,Person,P056143,round_tripping,AML_MEDIUM,true,low,2022-05-27,2022-08-13,P001048|TX00004758|P003187|TX00004606
GT00101,Person,P064290,rapid_movement,AML_LOW,true,high,2023-08-03,2023-12-12,P004996|TX00001220|TX00004106|TX00000530|P002310|TX00001902|P002376
GT00102,Person,P093712,smurfing,AML_HIGH,true,medium,2025-07-28,2025-09-12,P000118|P003949|TX00003525|TX00003582|P001297|P003530
GT00103,Account,ACC0122409,structuring,FRAUD_MEDIUM,true,high,2024-01-22,2024-02-08,TX00001992|TX00001846|P002100|TX00006845|TX00003198|TX00006377|TX00006499
GT00104,Company,C07415,smurfing,FRAUD_HIGH,true,high,2024-08-18,2024-11-15,TX00004480|P001034
GT00105,Account,ACC0087062,normal,NORMAL,false,info,2023-02-28,,TX00000718|P003752
GT00106,Account,ACC0014937,normal,NORMAL,false,info,2023-04-27,2023-05-14,P001212|TX00003282|TX00007616|TX00006166|TX00002728
GT00107,Person,P024781,rapid_movement,FRAUD_MEDIUM,true,critical,2023-02-22,,TX00001920|TX00009692|TX00005917
GT00108,Account,ACC0063385,false_invoice,FRAUD_HIGH,true,high,2022-05-29,2022-07-13,TX00004690|P003360|P003578|TX00009587|P003262
GT00109,Account,ACC0044968,round_tripping,AML_HIGH,true,low,2023-03-16,,P001193|TX00004967|P000406|TX00003776
GT00110,Person,P043931,smurfing,AML_LOW,true,medium,2022-12-22,,TX00000632|TX00008843|TX00007290|TX00001798|TX00001182|TX00003508|TX00000234|TX00002805
GT00111,Account,ACC0057385,shell_company,AML_LOW,true,high,2023-09-21,2023-12-25,TX00002290|P000231
GT00112,Account,ACC0068573,false_invoice,AML_HIGH,true,critical,2024-06-06,,TX00004714|TX00002671|TX00000550|TX00005485|P003642|P001185|TX00008133
GT00113,Account,ACC0104966,structuring,AML_HIGH,true,high,2022-08-05,,TX00002246|TX00008949|TX00003194|TX00000651|TX00007572|TX00005331
GT00114,Person,P043889,normal,NORMAL,false,info,2022-04-29,2022-08-03,TX00008786|TX00000165|TX00009677
GT00115,Account,ACC0113757,shell_company,AML_MEDIUM,true,critical,2024-06-28,2024-09-25,TX00008636|TX00008989|P002277|P001115|TX00000506
GT00116,Account,ACC0138970,normal,NORMAL,false,info,2023-12-06,,TX00001769|TX00005615|TX00003204
GT00117,Account,ACC0001487,normal,NORMAL,false,info,2022-02-06,,P004415|TX00006048|TX00000170|P003793|P001793|TX00008217|TX00004409
GT00118,Account,ACC0022490,layering,FRAUD_MEDIUM,true,critical,2025-02-02,2025-04-05,TX00003369|TX00006239
GT00119,Person,P037384,normal,NORMAL,false,info,2023-08-12,,P004168|TX00006975|TX00005269|TX00005930|P003800|P002575|P001280
GT00120,Account,ACC0070072,shell_company,AML_HIGH,true,low,2023-02-13,2023-03-13,TX00006170|TX00005757|TX00000645|P002713|P002153|TX00001887
GT00121,Account,ACC0147442,layering,AML_HIGH,true,critical,2023-06-20,2023-07-08,TX00003688|TX00005840|P000175|P004072|TX00009542
GT00122,Account,ACC0053494,structuring,FRAUD_HIGH,true,medium,2025-08-20,,TX00004930|TX00002212
GT00123,Person,P010530,smurfing,FRAUD_HIGH,true,medium,2025-08-07,,TX00000842|TX00000718|P002942|TX00008477|TX00007465
GT00124,Company,C09055,normal,NORMAL,false,info,2025-11-13,,TX00001301|TX00003154|TX00003678|TX00006551|TX00009588|P002073|TX00005192|TX00005614
GT00125,Person,P048114,structuring,AML_LOW,true,high,2025-12-20,2026-01-01,TX00004654|TX00002581|TX00008754|P004186|P000738|TX00009092
GT00126,Person,P082627,rapid_movement,FRAUD_HIGH,true,critical,2025-05-28,2025-06-14,TX00001334|TX00006952|TX00001877|TX00001177|TX00001684
GT00127,Person,P021527,shell_company,AML_LOW,true,critical,2025-12-19,2026-01-01,TX00007345|TX00003330|TX00003862|TX00001728|TX00002738|TX00000002
GT00128,Account,ACC0088648,smurfing,FRAUD_MEDIUM,true,low,2025-09-27,2025-12-25,TX00003927|P001708|TX00006092|TX00000658|TX00001003|P001221|P004019
GT00129,Account,ACC0082828,normal,NORMAL,false,info,2025-03-14,,TX00006281|P001485|TX00001350|P001672|TX00009847
GT00130,Person,P078184,false_invoice,AML_LOW,true,low,2024-12-28,2025-06-06,P001821|TX00003290|P003857|TX00001628|P002928|TX00002257
GT00131,Account,ACC0035444,layering,AML_MEDIUM,true,low,2024-10-17,2025-02-22,P000313|TX00005371|TX00000973|P002288|TX00007337
GT00132,Account,ACC0138636,round_tripping,AML_MEDIUM,true,high,2025-03-26,2025-06-07,P003313|TX00009781|P002350|TX00001315|TX00009066|P002660|TX00000613|P003322
GT00133,Account,ACC0022294,smurfing,AML_HIGH,true,medium,2023-01-13,2023-02-19,P000068|P002222|TX00005465|TX00007091|TX00004919|TX00007897|TX00009907|TX00006897
GT00134,Account,ACC0130288,normal,NORMAL,false,info,2025-05-18,,TX00006770|TX00008663|P001035|TX00007583|TX00005962|TX00001512|TX00000736|P004592
GT00135,Person,P084888,normal,NORMAL,false,info,2022-09-05,2022-09-15,TX00002806|TX00007953|TX00007675|TX00005509
GT00136,Person,P056118,normal,NORMAL,false,info,2025-12-05,,TX00005372|TX00003952|P002717|TX00008307
GT00137,Person,P002407,shell_company,AML_LOW,true,high,2025-04-18,2025-08-08,P001439|TX00003843|P003175|TX00006567
GT00138,Account,ACC0030057,normal,NORMAL,false,info,2023-04-04,2023-08-20,TX00007485|TX00007215|P003657|P002692|TX00009105|P001875|TX00009729
GT00139,Account,ACC0073432,smurfing,FRAUD_MEDIUM,true,high,2023-09-26,,TX00005859|P001280|TX00008192|TX00007322
GT00140,Account,ACC0111006,false_invoice,AML_MEDIUM,true,high,2023-09-13,,P003905|TX00009023|P002490|TX00002091|P004911
GT00141,Account,ACC0126234,shell_company,AML_LOW,true,critical,2023-09-21,2023-10-26,P004146|P003160|P002439|P003394
GT00142,Account,ACC0014656,false_invoice,FRAUD_MEDIUM,true,medium,2022-12-24,2023-02-07,TX00001329|TX00007683|TX00001523|P001158|P004546|TX00008287|TX00009041
GT00143,Person,P070834,smurfing,AML_HIGH,true,low,2023-11-07,2024-01-19,TX00001940|TX00001469
GT00144,Account,ACC0062359,shell_company,AML_HIGH,true,high,2023-07-06,2023-10-22,P001632|TX00009587|P001158
GT00145,Account,ACC0065068,rapid_movement,FRAUD_HIGH,true,medium,2023-02-22,,TX00006126|P002697|TX00008000|TX00005900|TX00005779|TX00003391|TX00006801
GT00146,Account,ACC0122057,layering,FRAUD_MEDIUM,true,critical,2025-11-11,2025-12-09,P000679|TX00003667|P000292|P002538|P002425|P000678
GT00147,Account,ACC0039556,normal,NORMAL,false,info,2024-09-27,2025-02-13,P002532|P003926|TX00003017|P000314|TX00007577|TX00006886|P001254
GT00148,Account,ACC0083824,smurfing,FRAUD_HIGH,true,critical,2025-10-06,,TX00009184|TX00000562|P000189|TX00009548
GT00149,Account,ACC0064009,layering,AML_MEDIUM,true,medium,2024-12-01,,P003041|TX00005049|TX00002588
GT00150,Person,P094931,rapid_movement,AML_LOW,true,medium,2023-02-19,,TX00002182|P001794|P000929|P002288|P001930|TX00003685|P000332
GT00151,Account,ACC0110451,layering,AML_HIGH,true,medium,2025-09-07,,P003461|TX00000224|P003622|P000100|TX00003934|P000724|TX00004323
GT00152,Person,P067623,round_tripping,FRAUD_HIGH,true,high,2025-01-27,,P001049|TX00006563|TX00000506|P000548
GT00153,Account,ACC0143931,rapid_movement,AML_HIGH,true,low,2023-12-20,2024-06-15,TX00003964|TX00003730|P001233|TX00003461|TX00000941|P003415
GT00154,Account,ACC0086558,layering,AML_LOW,true,medium,2024-07-07,2024-10-10,P002159|TX00001134|TX00001642|P004729|P002170|TX00002601|TX00005500
GT00155,Company,C05335,round_tripping,AML_MEDIUM,true,low,2022-02-21,2022-06-28,P001493|TX00009612|TX00008297|TX00009371
GT00156,Account,ACC0057926,smurfing,AML_HIGH,true,low,2022-11-09,2023-05-01,P002178|TX00009288|TX00002549
GT00157,Person,P033234,rapid_movement,FRAUD_MEDIUM,true,high,2023-06-11,,P003389|TX00008367
GT00158,Person,P005801,structuring,AML_LOW,true,high,2025-03-05,2025-03-23,TX00007074|P003844|P002101|TX00006520|TX00005974|TX00007328
GT00159,Account,ACC0059510,normal,NORMAL,false,info,2023-12-10,2024-01-04,P001216|TX00005166
GT00160,Person,P060688,false_invoice,FRAUD_HIGH,true,high,2025-05-19,,P002971|TX00009888|TX00007575|TX00004385|P001165|TX00004278|TX00002338|P003955
GT00161,Account,ACC0011104,structuring,AML_MEDIUM,true,low,2024-03-07,2024-05-01,TX00008358|P003307|P001461|TX00000481|TX00007937|TX00000188|TX00009408
GT00162,Company,C00012,shell_company,FRAUD_MEDIUM,true,high,2025-02-12,2025-07-04,TX00007107|P004001|P004731|TX00003019|TX00002014
GT00163,Account,ACC0089140,rapid_movement,AML_LOW,true,high,2025-04-22,,TX00000518|TX00006183|TX00008026|P000188|TX00006526|P001957|P001203|TX00001516
GT00164,Account,ACC0069971,smurfing,AML_LOW,true,high,2022-06-11,2022-09-04,TX00001591|TX00005923|P004518|P002063|TX00009417|TX00008459
GT00165,Person,P045197,normal,NORMAL,false,info,2024-05-09,2024-08-09,TX00007465|P001421|TX00006682|P001077
GT00166,Account,ACC0062073,layering,AML_HIGH,true,critical,2024-04-17,2024-08-18,TX00001801|TX00001429|TX00006984|TX00000427|TX00000278|TX00009957|TX00003506|TX00003731
GT00167,Person,P012468,round_tripping,FRAUD_HIGH,true,critical,2025-05-17,,TX00005813|TX00005352|TX00005270|P003900|TX00001896
GT00168,Account,ACC0039899,structuring,AML_LOW,true,low,2022-06-23,,TX00003894|TX00009094|TX00005275|P001076
GT00169,Person,P031029,normal,NORMAL,false,info,2025-06-17,2025-09-25,TX00005928|TX00006889|P000773|TX00004614|TX00004848
GT00170,Account,ACC0147241,false_invoice,AML_MEDIUM,true,high,2024-06-04,2024-10-13,TX00000025|TX00009361|TX00006497|TX00002495|P001087|P004964
GT00171,Person,P074985,structuring,FRAUD_HIGH,true,medium,2024-08-12,2024-08-22,TX00008545|TX00000062|TX00005511|P001473|TX00000051
GT00172,Account,ACC0038247,normal,NORMAL,false,info,2025-06-22,2025-10-07,P004805|TX00008529|TX00001754|TX00009479
GT00173,Account,ACC0094616,smurfing,AML_HIGH,true,critical,2022-11-26,,TX00003219|P001399|TX00003495|P000276|TX00004626|TX00000401|P000673
GT00174,Account,ACC0137616,normal,NORMAL,false,info,2022-03-18,,TX00007482|P001520|P004359|TX00009371|TX00004371|P004964
GT00175,Person,P061343,normal,NORMAL,false,info,2023-08-06,2023-09-01,P000518|P004514|TX00007277|TX00008691|P002689|P002215|P002475|P001618
GT00176,Person,P014442,shell_company,AML_MEDIUM,true,high,2024-05-07,2024-09-28,P000468|TX00004668|TX00000999|P001189|P003055
GT00177,Account,ACC0097593,smurfing,AML_HIGH,true,low,2022-07-11,2022-10-19,P002877|TX00005748|TX00002932|TX00000339|TX00001189|TX00009303
GT00178,Person,P036587,structuring,AML_MEDIUM,true,critical,2025-07-23,2025-10-04,TX00002935|TX00005958|P003764|TX00006355|P004851|P002601|TX00002018|TX00000297
GT00179,Account,ACC0146341,shell_company,FRAUD_HIGH,true,medium,2024-11-30,2024-12-22,TX00006167|TX00004363|TX00001910|TX00004811|TX00000284
GT00180,Account,ACC0016978,round_tripping,AML_LOW,true,low,2025-11-23,2026-01-01,TX00007157|TX00008329|TX00003994|TX00008632|TX00006968
GT00181,Company,C08545,structuring,FRAUD_HIGH,true,critical,2025-01-27,,P004743|TX00008827|P000798|P000195|P001484|TX00009247
GT00182,Person,P047074,normal,NORMAL,false,info,2024-08-04,2024-11-01,TX00008112|TX00000626|P001226|TX00001613|TX00001758|TX00006466
GT00183,Account,ACC0012725,normal,NORMAL,false,info,2025-03-25,2025-06-19,P004506|TX00009467|TX00001366|TX00002957
GT00184,Person,P023957,normal,NORMAL,false,info,2023-03-17,,TX00001258|TX00004988|TX00006435|TX00008906|P003060|P004840|TX00007614
GT00185,Account,ACC0115887,smurfing,FRAUD_MEDIUM,true,low,2025-03-23,2025-06-04,TX00002866|P002024|P003748|TX00008728|TX00001136|TX00008691|P001884|P004096
GT00186,Person,P090840,layering,AML_HIGH,true,medium,2025-05-31,,TX00003477|TX00002425|TX00003688|TX00001267
GT00187,Account,ACC0066902,shell_company,AML_MEDIUM,true,high,2024-03-08,2024-08-02,TX00005582|P001701|TX00006902|TX00006807|TX00004040|P004306
GT00188,Account,ACC0099820,smurfing,FRAUD_MEDIUM,true,low,2024-04-04,2024-09-16,P002697|TX00007206|TX00001374|TX00006396|P003014
GT00189,Account,ACC0086032,false_invoice,AML_LOW,true,high,2024-10-20,,TX00005150|TX00009669|TX00009385|TX00007858|P003654
GT00190,Account,ACC0092325,rapid_movement,AML_MEDIUM,true,high,2025-03-23,2025-08-29,P004632|P001858|TX00001347|P004070|TX00008810|TX00000673|TX00005583|TX00001248
GT00191,Account,ACC0048575,normal,NORMAL,false,info,2024-04-08,,P000373|TX00007930|TX00009081|TX00003669
GT00192,Account,ACC0100494,round_tripping,AML_HIGH,true,medium,2025-09-09,,P000525|TX00006516|TX00003250
GT00193,Person,P083623,structuring,FRAUD_HIGH,true,medium,2022-09-28,2022-11-28,TX00003779|TX00003781
GT00194,Person,P059106,normal,NORMAL,false,info,2025-06-14,,P004828|TX00007800|P002041|TX00009317
GT00195,Account,ACC0014699,smurfing,FRAUD_HIGH,true,medium,2022-08-16,2022-11-28,TX00004178|TX00008955|P002875|P001367|P001240
