account_id,owner_id,owner_type,institution_id,account_type,currency,opened_at,closed_at,status,average_balance,city,country
ACC0000097,C04109,Company,BNK014,Business,ETB,2024-01-19,2025-12-21,Closed,141497,Addis Ababa,Ethiopia
ACC0000098,P008992,Person,BNK008,Savings,ETB,2023-04-18,,Active,40359,Nekemte,Ethiopia
ACC0000099,P095242,Person,BNK014,Fixed Deposit,ETB,2022-02-26,,Active,3063,Addis Ababa,Ethiopia
ACC0000100,C03264,Company,BNK017,Mobile Money,ETB,2023-03-20,,Active,4435,Adama,Ethiopia
ACC0000101,P053990,Person,BNK003,Current,ETB,2022-03-28,,Closed,4668,Addis Ababa,Ethiopia
ACC0000102,C08653,Company,BNK001,Savings,ETB,2023-05-26,,Active,8069,Dessie,Ethiopia
ACC0000103,P037587,Person,BNK001,Business,ETB,2023-06-03,,Active,18422,Addis Ababa,Ethiopia
ACC0000104,P051789,Person,BNK017,Mobile Money,ETB,2023-09-21,,Active,1422,Gondar,Ethiopia
ACC0000105,P043799,Person,BNK010,Savings,ETB,2024-10-10,,Active,35624,Bahir Dar,Ethiopia
ACC0000106,P032638,Person,BNK019,Fixed Deposit,ETB,2022-11-05,,Dormant,5734,Dire Dawa,Ethiopia
ACC0000107,C07452,Company,BNK014,Current,ETB,2025-11-25,,Active,3173,Hosaena,Ethiopia
ACC0000108,P021258,Person,BNK001,Business,ETB,2023-11-20,,Active,26978,Gondar,Ethiopia
ACC0000109,C01348,Company,BNK001,Mobile Money,AED,2025-03-05,,Active,44822,Addis Ababa,Ethiopia
ACC0000110,P028187,Person,BNK012,Fixed Deposit,ETB,2025-03-19,,Active,19813,Addis Ababa,Ethiopia
ACC0000111,P038407,Person,BNK011,Business,ETB,2024-02-25,,Active,60592,Addis Ababa,Ethiopia
ACC0000112,P086180,Person,BNK018,Business,ETB,2025-04-14,,Active,440633,Jijiga,Ethiopia
ACC0000113,P018393,Person,BNK014,Mobile Money,ETB,2025-01-04,,Active,3588,Hawassa,Ethiopia
ACC0000114,C04355,Company,BNK012,Mobile Money,ETB,2022-06-17,,Active,5299,Nekemte,Ethiopia
ACC0000115,P025980,Person,BNK016,Current,ETB,2022-05-13,,Active,29727,Dessie,Ethiopia
ACC0000116,P004624,Person,BNK009,Savings,ETB,2025-11-13,,Active,16827,Shashamane,Ethiopia
ACC0000117,P055476,Person,BNK014,Savings,ETB,2024-10-10,2025-07-24,Closed,54310,Addis Ababa,Ethiopia
ACC0000118,P005712,Person,BNK009,Fixed Deposit,ETB,2024-09-01,,Closed,18263,Addis Ababa,Ethiopia
ACC0000119,P022812,Person,BNK003,Savings,ETB,2023-09-13,,Active,73466,Addis Ababa,Ethiopia
ACC0000120,P064254,Person,BNK015,Fixed Deposit,ETB,2024-09-24,,Active,32494,Sodo,Ethiopia
ACC0000121,P026687,Person,BNK020,Fixed Deposit,AED,2024-12-19,,Closed,15394,Addis Ababa,Ethiopia
ACC0000122,P020183,Person,BNK018,Savings,ETB,2024-12-01,,Active,299801,Bahir Dar,Ethiopia
ACC0000123,P053365,Person,BNK010,Mobile Money,ETB,2022-03-14,,Active,3259,Addis Ababa,Ethiopia
ACC0000124,P010189,Person,BNK005,Mobile Money,ETB,2025-07-05,,Closed,21934,Addis Ababa,Ethiopia
ACC0000125,P061824,Person,BNK013,Mobile Money,ETB,2025-04-29,,Closed,6668,Adama,Ethiopia
ACC0000126,P026290,Person,BNK010,Savings,ETB,2025-04-29,,Active,166651,Nekemte,Ethiopia
ACC0000127,P011617,Person,BNK017,Mobile Money,ETB,2024-06-06,,Dormant,4977,Gondar,Ethiopia
ACC0000128,C02016,Company,BNK020,Fixed Deposit,ETB,2023-12-18,,Active,81467,Mekelle,Ethiopia
ACC0000129,C02315,Company,BNK003,Mobile Money,ETB,2025-05-27,,Active,38137,Addis Ababa,Ethiopia
ACC0000130,P021649,Person,BNK008,Savings,ETB,2023-05-28,,Active,9178,Addis Ababa,Ethiopia
ACC0000131,P018321,Person,BNK004,Current,ETB,2023-01-07,,Active,24559,Dessie,Ethiopia
ACC0000132,C02564,Company,BNK017,Mobile Money,ETB,2024-03-25,,Closed,42567,Mekelle,Ethiopia
ACC0000133,P055813,Person,BNK018,Mobile Money,ETB,2025-08-19,,Active,20889,Addis Ababa,Ethiopia
ACC0000134,P056233,Person,BNK001,Business,ETB,2022-03-23,,Active,28109,Bishoftu,Ethiopia
ACC0000135,P013235,Person,BNK011,Mobile Money,ETB,2025-01-12,,Active,1889,Dire Dawa,Ethiopia
ACC0000136,P039987,Person,BNK004,Current,ETB,2022-07-15,,Active,1138,Addis Ababa,Ethiopia
ACC0000137,P094708,Person,BNK018,Fixed Deposit,ETB,2025-07-21,,Active,12412,Addis Ababa,Ethiopia
ACC0000138,P045115,Person,BNK005,Mobile Money,AED,2023-04-10,,Active,37908,Dire Dawa,Ethiopia
ACC0000139,P022219,Person,BNK020,Fixed Deposit,EUR,2025-01-18,,Active,22534,Addis Ababa,Ethiopia
ACC0000140,P041942,Person,BNK006,Business,ETB,2022-05-02,,Closed,27235,Bahir Dar,Ethiopia
ACC0000141,P072244,Person,BNK001,Mobile Money,ETB,2023-01-12,,Active,35097,Addis Ababa,Ethiopia
ACC0000142,P034859,Person,BNK019,Fixed Deposit,ETB,2025-11-16,2025-12-23,Closed,3512,Addis Ababa,Ethiopia
ACC0000143,P001554,Person,BNK012,Current,ETB,2022-03-18,2024-01-18,Closed,9647,Bahir Dar,Ethiopia
ACC0000144,P021218,Person,BNK009,Business,ETB,2024-10-31,2025-02-28,Closed,34075,Addis Ababa,Ethiopia
ACC0000145,P068814,Person,BNK018,Business,ETB,2025-06-04,,Active,118103,Jijiga,Ethiopia
ACC0000146,P024419,Person,BNK010,Business,ETB,2023-10-03,,Active,3555,Hosaena,Ethiopia
ACC0000147,P082230,Person,BNK014,Fixed Deposit,ETB,2023-06-16,,Closed,20282,Mekelle,Ethiopia
ACC0000148,P058617,Person,BNK004,Fixed Deposit,ETB,2022-09-13,2024-05-17,Closed,14585,Hosaena,Ethiopia
ACC0000149,P006896,Person,BNK011,Savings,ETB,2025-09-25,,Closed,67167,Addis Ababa,Ethiopia
ACC0000150,P003967,Person,BNK005,Savings,ETB,2025-12-05,,Active,2427,Jijiga,Ethiopia
ACC0000151,C04173,Company,BNK011,Savings,ETB,2024-02-22,,Active,45407,Nekemte,Ethiopia
ACC0000152,P080748,Person,BNK016,Fixed Deposit,ETB,2025-06-17,,Active,12449,Mekelle,Ethiopia
ACC0000153,P050600,Person,BNK001,Mobile Money,ETB,2022-03-10,,Active,59903,Hawassa,Ethiopia
ACC0000154,P017377,Person,BNK010,Fixed Deposit,ETB,2023-09-11,,Active,4238,Mekelle,Ethiopia
ACC0000155,C02875,Company,BNK012,Savings,ETB,2022-02-08,,Active,26336,Dessie,Ethiopia
ACC0000156,P044661,Person,BNK017,Fixed Deposit,ETB,2024-07-29,,Dormant,24908,Shashamane,Ethiopia
ACC0000157,C06971,Company,BNK013,Fixed Deposit,ETB,2023-06-16,,Closed,30278,Dilla,Ethiopia
ACC0000158,P048414,Person,BNK020,Current,ETB,2022-10-17,,Frozen,39255,Shashamane,Ethiopia
ACC0000159,P078905,Person,BNK010,Savings,ETB,2024-01-06,,Active,1117,Addis Ababa,Ethiopia
ACC0000160,P047781,Person,BNK020,Mobile Money,USD,2024-09-30,,Dormant,57015,Jijiga,Ethiopia
ACC0000161,P031313,Person,BNK008,Current,ETB,2023-05-31,,Closed,39891,Jijiga,Ethiopia
ACC0000162,C05920,Company,BNK016,Fixed Deposit,ETB,2022-12-01,,Active,137857,Addis Ababa,Ethiopia
ACC0000163,P085961,Person,BNK015,Mobile Money,ETB,2024-04-09,,Active,16248,Addis Ababa,Ethiopia
ACC0000164,C01234,Company,BNK018,Fixed Deposit,ETB,2023-05-25,,Active,25014,Addis Ababa,Ethiopia
ACC0000165,C02676,Company,BNK003,Fixed Deposit,ETB,2025-10-10,,Active,17471,Dire Dawa,Ethiopia
ACC0000166,P051714,Person,BNK011,Fixed Deposit,GBP,2023-12-29,,Active,4028,Shashamane,Ethiopia
ACC0000167,P059427,Person,BNK020,Savings,ETB,2022-04-23,,Active,3694,Dessie,Ethiopia
ACC0000168,P035605,Person,BNK017,Fixed Deposit,ETB,2023-10-13,,Closed,40678,Addis Ababa,Ethiopia
ACC0000169,C02993,Company,BNK001,Business,ETB,2024-05-12,,Closed,5679,Sodo,Ethiopia
ACC0000170,P073572,Person,BNK010,Savings,ETB,2025-12-30,,Closed,91036,Addis Ababa,Ethiopia
ACC0000171,P049878,Person,BNK008,Current,ETB,2025-07-26,,Active,10219,Addis Ababa,Ethiopia
ACC0000172,P035862,Person,BNK006,Fixed Deposit,ETB,2022-11-03,,Active,17541,Addis Ababa,Ethiopia
ACC0000173,P056061,Person,BNK004,Mobile Money,ETB,2025-09-21,,Frozen,218495,Addis Ababa,Ethiopia
ACC0000174,P014894,Person,BNK008,Current,ETB,2025-06-24,2025-09-18,Closed,23100,Bishoftu,Ethiopia
ACC0000175,P094231,Person,BNK006,Current,ETB,2023-07-26,,Active,88201,Jimma,Ethiopia
ACC0000176,P092896,Person,BNK008,Savings,ETB,2025-03-24,,Active,18419,Dire Dawa,Ethiopia
ACC0000177,P017104,Person,BNK005,Current,ETB,2022-07-29,,Active,19828,Addis Ababa,Ethiopia
ACC0000178,P005907,Person,BNK009,Business,ETB,2022-06-24,,Active,22505,Jimma,Ethiopia
ACC0000179,P058203,Person,BNK007,Current,ETB,2024-05-13,2024-11-27,Closed,33323,Mekelle,Ethiopia
ACC0000180,C05632,Company,BNK007,Current,ETB,2022-01-08,,Active,11117,Addis Ababa,Ethiopia
ACC0000181,P056321,Person,BNK019,Current,ETB,2025-04-25,,Closed,4689,Adama,Ethiopia
ACC0000182,P054259,Person,BNK001,Current,ETB,2025-05-27,,Closed,182145,Bishoftu,Ethiopia
ACC0000183,P042396,Person,BNK010,Fixed Deposit,ETB,2023-03-05,,Active,25154,Shashamane,Ethiopia
ACC0000184,P034184,Person,BNK018,Fixed Deposit,ETB,2023-02-18,,Active,72285,Addis Ababa,Ethiopia
ACC0000185,P032423,Person,BNK017,Mobile Money,ETB,2022-10-29,,Active,13393,Hawassa,Ethiopia
ACC0000186,P068260,Person,BNK002,Savings,ETB,2025-02-18,,Closed,37051,Addis Ababa,Ethiopia
ACC0000187,C02883,Company,BNK004,Business,ETB,2022-07-14,,Active,17064,Addis Ababa,Ethiopia
ACC0000188,P032653,Person,BNK006,Mobile Money,ETB,2024-12-04,,Active,21424,Gondar,Ethiopia
ACC0000189,P094680,Person,BNK016,Savings,ETB,2025-11-22,2025-12-24,Closed,26715,Bahir Dar,Ethiopia
ACC0000190,P010130,Person,BNK012,Fixed Deposit,ETB,2024-04-10,,Active,1972,Dire Dawa,Ethiopia
ACC0000191,P077213,Person,BNK004,Business,ETB,2022-11-24,,Closed,12209,Jimma,Ethiopia
ACC0000192,P094543,Person,BNK006,Savings,USD,2024-06-25,,Active,16843,Bahir Dar,Ethiopia
ACC0000193,C06234,Company,BNK019,Mobile Money,ETB,2022-12-07,,Active,1246,Addis Ababa,Ethiopia
ACC0000194,P063108,Person,BNK018,Mobile Money,AED,2023-05-26,,Active,7711,Shashamane,Ethiopia
ACC0000195,P038082,Person,BNK007,Fixed Deposit,ETB,2023-07-05,,Active,14548,Shashamane,Ethiopia
ACC0000196,C05745,Company,BNK016,Fixed Deposit,ETB,2022-05-15,,Active,2949,Gondar,Ethiopia
ACC0000197,P041094,Person,BNK014,Current,ETB,2024-12-26,,Active,66668,Sodo,Ethiopia
ACC0000198,P021796,Person,BNK017,Fixed Deposit,ETB,2025-05-29,,Active,37524,Harar,Ethiopia
ACC0000199,P015174,Person,BNK001,Mobile Money,ETB,2022-05-03,2023-07-04,Closed,5179,Addis Ababa,Ethiopia
ACC0000200,P068999,Person,BNK020,Savings,ETB,2024-01-31,,Closed,4282,Dilla,Ethiopia
ACC0000201,P072668,Person,BNK008,Mobile Money,ETB,2024-06-26,,Active,3226,Gondar,Ethiopia
ACC0000202,P061460,Person,BNK017,Fixed Deposit,ETB,2025-07-24,,Active,8659,Dessie,Ethiopia
ACC0000203,P053133,Person,BNK004,Business,ETB,2022-07-03,,Active,1694,Addis Ababa,Ethiopia
ACC0000204,P033800,Person,BNK012,Savings,ETB,2025-12-20,,Active,4442,Addis Ababa,Ethiopia
ACC0000205,P036351,Person,BNK019,Business,ETB,2025-05-13,,Dormant,101372,Addis Ababa,Ethiopia
ACC0000206,C06251,Company,BNK001,Current,ETB,2024-01-02,,Active,5550,Addis Ababa,Ethiopia
ACC0000207,C03498,Company,BNK006,Fixed Deposit,ETB,2025-08-13,,Active,15617,Sodo,Ethiopia
ACC0000208,P055109,Person,BNK013,Business,ETB,2022-08-05,,Active,5507,Debre Birhan,Ethiopia
ACC0000209,P086568,Person,BNK001,Savings,ETB,2022-04-06,,Active,2336,Addis Ababa,Ethiopia
ACC0000210,C04735,Company,BNK019,Business,ETB,2022-03-28,,Active,34709,Addis Ababa,Ethiopia
ACC0000211,P035500,Person,BNK014,Mobile Money,ETB,2024-10-20,,Active,20586,Addis Ababa,Ethiopia
ACC0000212,C02637,Company,BNK004,Business,EUR,2025-03-23,2025-09-23,Closed,31837,Nekemte,Ethiopia
ACC0000213,P048669,Person,BNK001,Savings,ETB,2023-04-29,,Closed,46925,Gondar,Ethiopia
ACC0000214,P035969,Person,BNK016,Mobile Money,ETB,2025-07-08,2025-08-11,Closed,117865,Adama,Ethiopia
ACC0000215,P059513,Person,BNK014,Mobile Money,ETB,2022-05-02,,Closed,2755,Jimma,Ethiopia
ACC0000216,P084079,Person,BNK018,Business,GBP,2022-10-31,,Active,20898,Addis Ababa,Ethiopia
ACC0000217,C00820,Company,BNK015,Current,ETB,2023-07-06,,Active,3214,Addis Ababa,Ethiopia
ACC0000218,P067835,Person,BNK008,Business,ETB,2024-09-07,,Active,41776,Bahir Dar,Ethiopia
ACC0000219,P032982,Person,BNK015,Savings,ETB,2024-08-02,,Active,4140,Dilla,Ethiopia
ACC0000220,P015727,Person,BNK014,Business,ETB,2022-01-01,,Active,18965,Jimma,Ethiopia
ACC0000221,P095439,Person,BNK003,Mobile Money,ETB,2024-05-17,,Active,2820,Gondar,Ethiopia
ACC0000222,P096037,Person,BNK002,Mobile Money,ETB,2025-03-17,,Active,1971,Bahir Dar,Ethiopia
ACC0000223,P089908,Person,BNK019,Business,USD,2024-04-10,,Active,27163,Gondar,Ethiopia
ACC0000224,P047733,Person,BNK018,Savings,ETB,2024-02-01,,Active,23159,Addis Ababa,Ethiopia
ACC0000225,P001603,Person,BNK020,Savings,ETB,2022-01-28,2022-07-21,Closed,299452,Addis Ababa,Ethiopia
ACC0000226,C07313,Company,BNK016,Business,ETB,2023-09-13,,Active,30675,Mekelle,Ethiopia
ACC0000227,P078636,Person,BNK015,Business,ETB,2025-05-07,,Active,384424,Hawassa,Ethiopia
ACC0000228,P035826,Person,BNK012,Business,ETB,2022-08-22,,Active,43476,Addis Ababa,Ethiopia
ACC0000229,P040432,Person,BNK019,Mobile Money,ETB,2022-12-19,,Active,12077,Addis Ababa,Ethiopia
ACC0000230,P029496,Person,BNK020,Savings,ETB,2022-07-08,,Closed,14774,Addis Ababa,Ethiopia
ACC0000231,P049892,Person,BNK013,Business,ETB,2022-12-03,,Closed,91243,Dire Dawa,Ethiopia
ACC0000232,P054953,Person,BNK018,Fixed Deposit,ETB,2024-11-02,2025-02-19,Closed,49068,Hosaena,Ethiopia
ACC0000233,P029209,Person,BNK016,Business,ETB,2025-02-21,,Active,18136,Hawassa,Ethiopia
ACC0000234,P007414,Person,BNK002,Fixed Deposit,ETB,2025-07-30,2025-09-09,Closed,137283,Addis Ababa,Ethiopia
ACC0000235,C03601,Company,BNK019,Mobile Money,ETB,2022-09-06,,Active,4097,Bishoftu,Ethiopia
ACC0000236,P081435,Person,BNK007,Savings,ETB,2025-07-30,,Active,18044,Mekelle,Ethiopia
ACC0000237,P009420,Person,BNK010,Current,ETB,2024-11-10,,Active,13653,Mekelle,Ethiopia
ACC0000238,P049627,Person,BNK009,Fixed Deposit,ETB,2022-08-31,,Active,15353,Addis Ababa,Ethiopia
ACC0000239,P071106,Person,BNK012,Mobile Money,ETB,2024-11-18,,Active,17598,Mekelle,Ethiopia
ACC0000240,C03787,Company,BNK014,Mobile Money,GBP,2023-06-19,,Closed,3338,Addis Ababa,Ethiopia
ACC0000241,P043985,Person,BNK006,Business,ETB,2022-01-22,,Active,31965,Dire Dawa,Ethiopia
ACC0000242,C05958,Company,BNK018,Current,ETB,2022-06-22,,Closed,27377,Dire Dawa,Ethiopia
ACC0000243,P052162,Person,BNK011,Current,ETB,2022-06-14,,Active,21498,Hawassa,Ethiopia
ACC0000244,P029434,Person,BNK005,Business,ETB,2023-04-24,,Active,3306,Addis Ababa,Ethiopia
