invoice_id,issuer_id,issuer_type,recipient_id,recipient_type,issue_date,due_date,amount,currency,service_type,status
INV0000027,P020561,Person,P039914,Person,2023-04-15,2023-07-12,82248,ETB,Import Duty,Pending
INV0000028,P001803,Person,C00758,Company,2022-04-25,2022-07-04,29154,ETB,Subscription,Paid
INV0000029,P060000,Person,P083599,Person,2023-08-06,2023-09-06,155694,USD,Equipment Supply,Paid
INV0000030,P086685,Person,P044958,Person,2024-03-07,2024-03-16,102352,ETB,Consulting,Cancelled
INV0000031,P041962,Person,P038899,Person,2024-08-13,2024-10-16,220631,ETB,Professional Services,Pending
INV0000032,P007444,Person,P072830,Person,2024-05-21,2024-08-18,5402,ETB,Consulting,Paid
INV0000033,P066530,Person,P018901,Person,2022-11-05,2022-12-11,10979,ETB,Equipment Supply,Paid
INV0000034,P045841,Person,P088357,Person,2022-03-15,2022-04-26,7925,ETB,Logistics,Paid
INV0000035,P039917,Person,P072745,Person,2022-05-29,2022-08-15,15504,ETB,Export Fee,Pending
INV0000036,P042831,Person,P013217,Person,2024-07-29,2024-08-29,81155,AED,Training,Paid
INV0000037,P090661,Person,P009351,Person,2025-07-13,2025-08-20,71861,ETB,Consulting,Paid
INV0000038,P003882,Person,P073448,Person,2024-08-06,2024-08-22,42130,ETB,Software Development,Paid
INV0000039,P029581,Person,P052382,Person,2022-01-26,2022-02-20,15690,ETB,Export Fee,Paid
INV0000040,P041124,Person,P021019,Person,2022-02-27,2022-03-23,3628,ETB,Export Fee,Overdue
INV0000041,P059800,Person,P092884,Person,2023-08-15,2023-08-28,23168,CHF,Export Fee,Paid
INV0000042,P019315,Person,P086140,Person,2024-05-06,2024-07-06,18628,ETB,Software Development,Pending
INV0000043,P044287,Person,P037330,Person,2024-09-20,2024-11-28,345117,ETB,Import Duty,Paid
INV0000044,P007775,Person,P002319,Person,2022-08-07,2022-09-10,125716,USD,Import Duty,Paid
INV0000045,P038707,Person,P054961,Person,2023-07-28,2023-10-20,6060,ETB,Training,Paid
INV0000046,C09591,Company,P077804,Person,2022-12-23,2023-01-27,2593,ETB,Export Fee,Paid
INV0000047,P078925,Person,P088040,Person,2022-01-26,2022-03-03,108520,USD,Professional Services,Paid
INV0000048,P099978,Person,P060004,Person,2024-01-16,2024-04-02,17436,ETB,Logistics,Paid
INV0000049,P068944,Person,P066869,Person,2025-05-05,2025-05-23,4088,ETB,Subscription,Paid
INV0000050,P042433,Person,P039681,Person,2025-05-22,2025-06-09,128009,ETB,Import Duty,Paid
INV0000051,P092099,Person,P029301,Person,2023-08-18,2023-11-07,26878,EUR,Export Fee,Pending
INV0000052,P018352,Person,P085653,Person,2025-03-06,2025-06-01,12129,ETB,Software Development,Paid
INV0000053,P043976,Person,P033037,Person,2023-02-22,2023-04-13,7195,ETB,Import Duty,Paid
INV0000054,P063409,Person,P029891,Person,2024-07-20,2024-08-13,36985,ETB,Subscription,Paid
INV0000055,P009937,Person,P030821,Person,2023-09-21,2023-10-13,14541,ETB,Subscription,Overdue
INV0000056,P096101,Person,P069168,Person,2023-11-09,2023-12-28,73995,ETB,Logistics,Overdue
INV0000057,P040645,Person,P037300,Person,2024-09-28,2024-10-17,31741,ETB,Software Development,Paid
INV0000058,P076476,Person,P040302,Person,2022-10-07,2022-11-23,3268,ETB,Import Duty,Pending
INV0000059,P061287,Person,P074484,Person,2025-07-13,2025-07-30,40558,USD,Export Fee,Overdue
INV0000060,P022732,Person,P088133,Person,2022-01-11,2022-04-01,13076,ETB,Training,Overdue
INV0000061,P057364,Person,C09517,Company,2024-02-21,2024-03-07,28974,ETB,Logistics,Paid
INV0000062,P098850,Person,P003297,Person,2023-09-17,2023-11-28,5624,ETB,Logistics,Paid
INV0000063,P006025,Person,P007715,Person,2024-01-20,2024-02-29,57852,ETB,Export Fee,Paid
INV0000064,C00298,Company,P053481,Person,2025-01-07,2025-03-24,61760,ETB,Subscription,Paid
INV0000065,P079902,Person,P035475,Person,2025-11-19,2026-02-08,7538,USD,Export Fee,Paid
INV0000066,P013301,Person,P077364,Person,2024-09-10,2024-10-20,11395,ETB,Training,Pending
INV0000067,P057665,Person,P006525,Person,2023-02-27,2023-04-19,4254,ETB,Subscription,Paid
INV0000068,P080241,Person,P069290,Person,2023-05-06,2023-06-02,80889,ETB,Professional Services,Overdue
INV0000069,P082215,Person,P026577,Person,2025-03-14,2025-06-02,25835,ETB,Training,Paid
INV0000070,P075036,Person,P056239,Person,2022-08-21,2022-11-03,5972,ETB,Maintenance,Paid
INV0000071,P048959,Person,P073206,Person,2022-10-12,2022-11-24,37498,ETB,Equipment Supply,Paid
INV0000072,P024916,Person,P026386,Person,2025-07-24,2025-09-17,4754,ETB,Subscription,Paid
INV0000073,P010630,Person,P076558,Person,2023-01-09,2023-02-11,90616,ETB,Export Fee,Paid
INV0000074,P021526,Person,P028620,Person,2025-06-15,2025-09-02,15404,ETB,Consulting,Paid
INV0000075,P003231,Person,P026843,Person,2024-03-16,2024-05-04,823,ETB,Consulting,Cancelled
INV0000076,P091089,Person,P012406,Person,2022-04-05,2022-05-13,6223,ETB,Consulting,Paid
INV0000077,P062620,Person,P099595,Person,2023-07-01,2023-07-12,75341,GBP,Subscription,Cancelled
INV0000078,P085685,Person,P022021,Person,2022-09-29,2022-12-21,15792,ETB,Training,Paid
INV0000079,P095734,Person,P086060,Person,2023-05-06,2023-06-29,13312,ETB,Logistics,Pending
INV0000080,P024185,Person,P038624,Person,2022-06-20,2022-07-05,14163,ETB,Export Fee,Paid
INV0000081,P030601,Person,C06806,Company,2024-04-17,2024-05-01,57082,USD,Equipment Supply,Paid
INV0000082,P097503,Person,P070920,Person,2025-06-17,2025-08-23,32189,ETB,Software Development,Overdue
INV0000083,C04858,Company,P076528,Person,2025-08-22,2025-11-10,155211,ETB,Export Fee,Paid
INV0000084,P026065,Person,P085793,Person,2025-09-11,2025-10-07,5386,ETB,Subscription,Paid
INV0000085,P067146,Person,P081053,Person,2024-09-25,2024-11-14,8698,AED,Software Development,Cancelled
INV0000086,P019844,Person,P072376,Person,2024-12-14,2025-03-11,59219,ETB,Professional Services,Pending
INV0000087,P022890,Person,P019692,Person,2024-08-20,2024-08-29,500,ETB,Export Fee,Paid
INV0000088,P073536,Person,P040569,Person,2024-03-15,2024-04-21,7211,ETB,Consulting,Paid
INV0000089,P076804,Person,P029108,Person,2022-06-03,2022-08-15,38292,ETB,Professional Services,Paid
INV0000090,P006156,Person,P083050,Person,2023-08-01,2023-08-11,18671,GBP,Logistics,Paid
INV0000091,P085935,Person,P025412,Person,2022-09-22,2022-10-23,23895,ETB,Export Fee,Paid
INV0000092,P075005,Person,P075099,Person,2025-09-29,2025-11-06,3400,GBP,Software Development,Paid
INV0000093,P029825,Person,P015844,Person,2022-07-14,2022-08-06,81750,AED,Software Development,Paid
INV0000094,P096661,Person,P006718,Person,2025-01-30,2025-02-25,2932,USD,Software Development,Paid
INV0000095,P025661,Person,P055369,Person,2025-10-21,2025-11-15,4670,USD,Professional Services,Paid
INV0000096,P040538,Person,P027012,Person,2022-01-06,2022-01-22,112293,ETB,Maintenance,Paid
INV0000097,P041043,Person,P060300,Person,2024-03-21,2024-06-03,22460,ETB,Training,Overdue
INV0000098,P093608,Person,P063659,Person,2024-03-25,2024-05-18,6435,EUR,Software Development,Cancelled
INV0000099,P093913,Person,P049066,Person,2023-10-15,2024-01-05,100089,USD,Training,Paid
INV0000100,P094582,Person,P061387,Person,2022-03-20,2022-03-30,362734,ETB,Training,Paid
INV0000101,P017845,Person,P071665,Person,2025-05-22,2025-08-09,17285,ETB,Software Development,Pending
INV0000102,P026473,Person,P040015,Person,2024-01-30,2024-03-20,38854,ETB,Subscription,Overdue
INV0000103,P021997,Person,P045540,Person,2023-11-15,2024-01-09,7309,ETB,Subscription,Paid
INV0000104,P015117,Person,P073149,Person,2025-06-10,2025-07-09,14926,ETB,Equipment Supply,Pending
INV0000105,P019594,Person,P028057,Person,2025-03-23,2025-04-08,60924,ETB,Maintenance,Paid
INV0000106,P090396,Person,P049200,Person,2025-12-11,2026-01-16,27176,USD,Logistics,Paid
INV0000107,P070848,Person,P080642,Person,2022-05-28,2022-06-04,38073,ETB,Subscription,Cancelled
INV0000108,P020787,Person,P024278,Person,2023-09-23,2023-11-08,20437,ETB,Training,Paid
INV0000109,P041360,Person,P074248,Person,2023-12-23,2024-01-25,3293,ETB,Logistics,Paid
INV0000110,P089402,Person,C02551,Company,2023-10-09,2023-10-26,1715,ETB,Training,Paid
INV0000111,P018898,Person,P065640,Person,2022-06-17,2022-08-28,2165,ETB,Logistics,Paid
INV0000112,C02874,Company,P080626,Person,2025-06-27,2025-07-12,15829,ETB,Import Duty,Paid
INV0000113,P086206,Person,P030924,Person,2023-07-13,2023-10-08,65812,USD,Professional Services,Pending
INV0000114,C03421,Company,P001567,Person,2025-11-18,2025-12-05,23856,ETB,Consulting,Pending
INV0000115,P037871,Person,P063337,Person,2023-08-30,2023-09-24,86222,USD,Training,Pending
INV0000116,P078147,Person,P054270,Person,2023-08-03,2023-10-24,2548,USD,Maintenance,Paid
INV0000117,P098612,Person,P014836,Person,2022-02-24,2022-05-03,28996,ETB,Training,Overdue
INV0000118,P033474,Person,P086829,Person,2023-11-11,2024-01-05,3437,ETB,Consulting,Pending
INV0000119,P006456,Person,P053900,Person,2024-05-15,2024-08-02,141030,ETB,Import Duty,Paid
INV0000120,P049115,Person,P020016,Person,2022-04-05,2022-07-02,1966,ETB,Logistics,Paid
INV0000121,P052953,Person,P006081,Person,2025-01-11,2025-04-02,69953,ETB,Maintenance,Paid
INV0000122,P066727,Person,P023517,Person,2022-06-23,2022-08-29,2351,ETB,Logistics,Overdue
INV0000123,C09606,Company,P080084,Person,2024-10-25,2024-11-16,4757,USD,Professional Services,Paid
INV0000124,P066439,Person,P083795,Person,2024-05-29,2024-07-08,18958,ETB,Consulting,Pending
INV0000125,P051428,Person,P004882,Person,2024-08-15,2024-10-21,10437,ETB,Software Development,Paid
INV0000126,P029498,Person,P006172,Person,2025-02-18,2025-03-06,5767,ETB,Logistics,Pending
INV0000127,P066411,Person,P012518,Person,2025-11-15,2026-01-29,75367,ETB,Software Development,Cancelled
INV0000128,P050085,Person,P022610,Person,2024-11-08,2024-12-22,992,GBP,Import Duty,Paid
INV0000129,P052242,Person,C05264,Company,2025-11-13,2026-02-03,10959,ETB,Software Development,Paid
INV0000130,P046132,Person,P020765,Person,2022-09-05,2022-10-23,12891,ETB,Logistics,Pending
INV0000131,P037671,Person,P097195,Person,2023-10-01,2023-11-28,242226,ETB,Subscription,Pending
INV0000132,P007840,Person,P046146,Person,2023-11-10,2023-11-22,102437,ETB,Equipment Supply,Paid
INV0000133,P021136,Person,P084341,Person,2024-02-06,2024-04-24,16217,EUR,Maintenance,Paid
INV0000134,P041314,Person,P082995,Person,2024-02-11,2024-03-14,27874,GBP,Equipment Supply,Paid
INV0000135,P051915,Person,C05941,Company,2022-05-13,2022-07-13,10081,CHF,Equipment Supply,Paid
INV0000136,P049637,Person,P059957,Person,2023-09-30,2023-12-13,46780,GBP,Consulting,Paid
INV0000137,P053837,Person,P005341,Person,2025-12-11,2026-02-24,13191,ETB,Equipment Supply,Paid
INV0000138,C08875,Company,P053291,Person,2024-09-29,2024-11-07,22689,ETB,Consulting,Pending
INV0000139,P093618,Person,P047624,Person,2024-01-16,2024-04-09,21843,GBP,Logistics,Paid
INV0000140,P005337,Person,P035925,Person,2025-02-28,2025-05-12,114191,ETB,Logistics,Paid
INV0000141,P050881,Person,C09544,Company,2024-01-31,2024-03-24,5996,ETB,Subscription,Paid
INV0000142,P057437,Person,P080808,Person,2023-12-06,2024-02-13,6984,CHF,Training,Paid
INV0000143,C00776,Company,P052438,Person,2023-02-16,2023-03-18,17216,ETB,Training,Paid
INV0000144,P004078,Person,P067538,Person,2024-11-13,2024-11-28,11584,ETB,Training,Pending
INV0000145,P060629,Person,C01035,Company,2022-08-15,2022-11-08,29176,ETB,Consulting,Overdue
INV0000146,P030007,Person,C02110,Company,2024-09-21,2024-12-13,39119,USD,Export Fee,Paid
INV0000147,P043037,Person,P065031,Person,2025-04-17,2025-05-23,12249,GBP,Export Fee,Paid
INV0000148,P091784,Person,P080084,Person,2023-08-20,2023-09-16,137579,CHF,Software Development,Overdue
INV0000149,P072203,Person,P011196,Person,2025-06-25,2025-09-02,17850,ETB,Equipment Supply,Paid
INV0000150,C05258,Company,P063315,Person,2025-11-06,2025-11-30,20651,ETB,Training,Pending
INV0000151,P045188,Person,P006447,Person,2023-04-15,2023-06-12,151057,GBP,Equipment Supply,Paid
INV0000152,P079219,Person,P066825,Person,2022-02-03,2022-02-24,57954,ETB,Import Duty,Paid
INV0000153,P061716,Person,P040485,Person,2025-10-21,2025-12-13,14011,ETB,Logistics,Paid
INV0000154,P030519,Person,P098022,Person,2025-05-25,2025-07-06,3289,ETB,Training,Paid
INV0000155,P007817,Person,P076215,Person,2025-04-07,2025-05-31,3653,EUR,Subscription,Paid
INV0000156,P043090,Person,P044109,Person,2023-01-11,2023-02-07,14047,ETB,Professional Services,Cancelled
INV0000157,P076116,Person,P052318,Person,2022-03-21,2022-04-30,1277,ETB,Maintenance,Paid
INV0000158,P018396,Person,C01024,Company,2024-04-25,2024-06-28,24995,EUR,Maintenance,Pending
INV0000159,P097276,Person,P021425,Person,2024-08-30,2024-11-02,3244,ETB,Maintenance,Paid
INV0000160,P027064,Person,P076901,Person,2025-02-17,2025-05-07,3758,ETB,Subscription,Paid
INV0000161,P043312,Person,P061097,Person,2025-09-27,2025-10-22,14953,ETB,Logistics,Pending
INV0000162,P041229,Person,P005225,Person,2024-05-03,2024-06-03,59108,ETB,Software Development,Paid
INV0000163,P086593,Person,P019518,Person,2025-05-29,2025-08-12,18388,ETB,Professional Services,Paid
INV0000164,P053435,Person,P010439,Person,2023-01-09,2023-02-05,16835,USD,Consulting,Pending
INV0000165,P014381,Person,P098621,Person,2022-05-15,2022-08-04,15320,ETB,Maintenance,Paid
INV0000166,P013081,Person,P067850,Person,2024-03-09,2024-03-25,320934,ETB,Export Fee,Paid
INV0000167,P021741,Person,P078641,Person,2022-01-23,2022-02-21,10577,ETB,Subscription,Paid
INV0000168,C06842,Company,P074939,Person,2024-04-19,2024-07-11,5449,ETB,Training,Paid
INV0000169,C03261,Company,P016622,Person,2025-10-21,2026-01-07,335652,ETB,Consulting,Paid
INV0000170,P005915,Person,P007851,Person,2024-08-20,2024-11-11,66045,ETB,Subscription,Pending
INV0000171,P000459,Person,P027809,Person,2022-06-25,2022-09-14,78954,ETB,Subscription,Overdue
INV0000172,P021382,Person,P057648,Person,2025-07-27,2025-08-30,11444,ETB,Software Development,Pending
INV0000173,P091411,Person,P073711,Person,2024-05-25,2024-07-04,8480,ETB,Import Duty,Paid
INV0000174,P051254,Person,P049599,Person,2023-10-19,2023-12-16,218417,USD,Software Development,Paid
INV0000175,P092772,Person,P090810,Person,2022-08-22,2022-09-18,26446,ETB,Export Fee,Paid
INV0000176,P055581,Person,P030815,Person,2025-11-29,2026-01-07,10525,ETB,Subscription,Paid
INV0000177,P093926,Person,P022708,Person,2024-08-01,2024-09-18,5313,ETB,Consulting,Paid
INV0000178,P003613,Person,P038258,Person,2023-10-07,2023-12-23,43278,ETB,Logistics,Overdue
INV0000179,P073373,Person,P013771,Person,2023-12-09,2024-02-07,64870,GBP,Training,Paid
INV0000180,P098730,Person,C02401,Company,2025-04-22,2025-05-29,2372,ETB,Consulting,Paid
INV0000181,P008530,Person,P015184,Person,2024-11-06,2025-01-17,11303,ETB,Professional Services,Overdue
INV0000182,P010023,Person,P011870,Person,2024-01-15,2024-01-25,26923,USD,Equipment Supply,Paid
INV0000183,P059337,Person,P064719,Person,2024-10-20,2024-12-23,14332,ETB,Software Development,Paid
INV0000184,P039608,Person,P072153,Person,2022-10-15,2022-11-06,42121,GBP,Import Duty,Pending
INV0000185,P063821,Person,P037306,Person,2023-09-03,2023-11-06,3130,ETB,Equipment Supply,Paid
INV0000186,P021944,Person,C09387,Company,2025-12-01,2026-02-03,11143,AED,Export Fee,Paid
INV0000187,C08135,Company,P010083,Person,2023-07-05,2023-08-18,4114,ETB,Logistics,Paid
INV0000188,P080849,Person,P034326,Person,2023-12-10,2024-01-17,9703,ETB,Logistics,Paid
INV0000189,P030942,Person,P006715,Person,2024-08-02,2024-08-22,6499,ETB,Logistics,Paid
INV0000190,P090021,Person,P038460,Person,2024-11-28,2025-01-17,21619,USD,Training,Paid
INV0000191,P047237,Person,P079433,Person,2024-04-15,2024-04-22,24537,ETB,Logistics,Paid
INV0000192,P073885,Person,P052192,Person,2022-07-26,2022-09-05,17327,ETB,Maintenance,Paid
INV0000193,P065653,Person,P098440,Person,2025-08-15,2025-10-21,40351,USD,Logistics,Paid
INV0000194,P081375,Person,P089915,Person,2023-05-17,2023-07-06,5676,ETB,Consulting,Paid
INV0000195,P092127,Person,C07646,Company,2025-06-07,2025-08-23,66455,ETB,Maintenance,Paid
INV0000196,P091387,Person,P034572,Person,2025-12-12,2026-01-18,33652,ETB,Import Duty,Paid
INV0000197,P064715,Person,P031468,Person,2022-09-20,2022-12-13,5366,ETB,Professional Services,Paid
INV0000198,P046393,Person,P047394,Person,2025-06-06,2025-08-17,12439,ETB,Consulting,Paid
INV0000199,P060028,Person,P047682,Person,2025-10-08,2025-11-20,1458026,ETB,Software Development,Pending
INV0000200,P041234,Person,P094927,Person,2025-02-15,2025-03-23,2703,USD,Logistics,Paid
INV0000201,P024445,Person,P017209,Person,2023-02-16,2023-04-21,40919,ETB,Equipment Supply,Paid
INV0000202,P062639,Person,P015808,Person,2024-07-30,2024-10-08,70234,ETB,Export Fee,Cancelled
INV0000203,P068767,Person,P059185,Person,2022-02-25,2022-03-15,6975,ETB,Consulting,Paid
INV0000204,P094276,Person,P068596,Person,2025-11-14,2025-12-31,63279,ETB,Professional Services,Paid
INV0000205,P010982,Person,C02725,Company,2025-03-22,2025-04-12,3707,ETB,Software Development,Paid
INV0000206,P083914,Person,P062527,Person,2023-02-21,2023-04-15,3505,ETB,Consulting,Overdue
INV0000207,P066247,Person,P073664,Person,2023-03-07,2023-06-04,20797,USD,Professional Services,Paid
INV0000208,P008602,Person,C01004,Company,2022-10-16,2023-01-11,9708,ETB,Maintenance,Paid
INV0000209,P096782,Person,C09585,Company,2025-06-08,2025-07-19,10472,ETB,Training,Overdue
INV0000210,P028112,Person,C04349,Company,2024-11-12,2025-01-12,500,ETB,Maintenance,Paid
INV0000211,C04889,Company,P031030,Person,2022-08-25,2022-09-28,10950,ETB,Logistics,Overdue
INV0000212,P063475,Person,P057641,Person,2024-05-25,2024-08-11,186051,USD,Subscription,Paid
INV0000213,P055321,Person,P082891,Person,2022-05-07,2022-07-22,31152,ETB,Consulting,Cancelled
INV0000214,P067349,Person,C01228,Company,2023-02-08,2023-02-20,107586,ETB,Maintenance,Paid
INV0000215,P062932,Person,C03367,Company,2022-08-16,2022-11-11,370597,ETB,Consulting,Overdue
INV0000216,C02462,Company,P044762,Person,2023-01-06,2023-02-10,257717,ETB,Software Development,Paid
INV0000217,P041784,Person,P082340,Person,2024-01-28,2024-04-19,12670,ETB,Training,Paid
INV0000218,P074026,Person,P059170,Person,2022-04-06,2022-04-21,49006,ETB,Professional Services,Overdue
INV0000219,P077636,Person,P089737,Person,2025-05-27,2025-07-14,146671,CHF,Software Development,Paid
INV0000220,P004212,Person,P007691,Person,2024-05-18,2024-06-18,336303,USD,Export Fee,Cancelled
INV0000221,P036886,Person,P037612,Person,2025-10-11,2025-12-20,13221,ETB,Logistics,Paid
INV0000222,P076556,Person,P006619,Person,2024-11-05,2025-01-09,2808,ETB,Import Duty,Paid
INV0000223,P068779,Person,P038093,Person,2025-07-17,2025-09-17,42349,ETB,Export Fee,Paid
INV0000224,P003936,Person,P039039,Person,2023-07-19,2023-09-11,6134,ETB,Subscription,Paid
INV0000225,P091202,Person,P041579,Person,2025-10-28,2025-11-07,50906,EUR,Maintenance,Paid
INV0000226,P074812,Person,C04431,Company,2023-08-27,2023-10-05,343392,ETB,Professional Services,Paid
INV0000227,P060121,Person,C05788,Company,2025-02-07,2025-02-18,1818,USD,Training,Pending
INV0000228,P076724,Person,P099337,Person,2022-12-28,2023-02-21,22017,ETB,Training,Cancelled
INV0000229,P057178,Person,P009980,Person,2025-10-05,2025-12-12,25628,EUR,Logistics,Overdue
INV0000230,P018002,Person,P034197,Person,2022-12-22,2023-03-13,9808,ETB,Logistics,Paid
INV0000231,P091945,Person,P017687,Person,2025-04-19,2025-04-29,132116,ETB,Consulting,Paid
INV0000232,P023145,Person,P060985,Person,2024-07-16,2024-09-20,10474,ETB,Software Development,Paid
INV0000233,P054595,Person,P061597,Person,2025-01-18,2025-03-30,39021,ETB,Import Duty,Overdue
INV0000234,P045941,Person,P078329,Person,2022-09-07,2022-11-07,12176,EUR,Maintenance,Paid
INV0000235,P056800,Person,P044135,Person,2022-05-27,2022-08-24,12835,USD,Training,Paid
INV0000236,P074325,Person,P013240,Person,2024-07-04,2024-08-07,14282,ETB,Professional Services,Paid
INV0000237,P075273,Person,P074541,Person,2023-02-03,2023-03-22,84145,ETB,Consulting,Pending
INV0000238,P031335,Person,P073804,Person,2024-09-11,2024-11-26,140442,ETB,Export Fee,Overdue
INV0000239,P003971,Person,P066329,Person,2022-08-25,2022-10-09,5570,ETB,Equipment Supply,Paid
INV0000240,P044109,Person,C01012,Company,2024-02-13,2024-04-29,22632,ETB,Subscription,Paid
INV0000241,P025364,Person,P063407,Person,2025-08-02,2025-10-25,7315,ETB,Professional Services,Overdue
INV0000242,P097818,Person,P013197,Person,2023-12-24,2024-02-01,12490,ETB,Export Fee,Pending
INV0000243,P016055,Person,P028024,Person,2022-10-31,2023-01-28,6412,ETB,Export Fee,Paid
INV0000244,P008069,Person,P097168,Person,2023-04-30,2023-05-21,10628,ETB,Consulting,Cancelled
INV0000245,P047070,Person,P018711,Person,2024-01-21,2024-04-13,13863,ETB,Professional Services,Overdue
INV0000246,P044636,Person,P045849,Person,2025-10-09,2025-11-20,8111,ETB,Logistics,Paid
INV0000247,P060247,Person,C04145,Company,2023-01-19,2023-03-10,87766,ETB,Maintenance,Paid
INV0000248,P006408,Person,C00905,Company,2023-12-03,2024-01-09,22334,ETB,Consulting,Overdue
INV0000249,P023461,Person,P022948,Person,2023-09-13,2023-09-30,14636,ETB,Equipment Supply,Paid
INV0000250,P037424,Person,P075324,Person,2024-07-08,2024-09-11,46793,EUR,Maintenance,Paid
INV0000251,P094262,Person,P045409,Person,2024-07-29,2024-08-26,22928,ETB,Subscription,Paid
INV0000252,P076920,Person,P081526,Person,2024-10-29,2024-12-14,81449,ETB,Maintenance,Paid
INV0000253,P006058,Person,P011433,Person,2023-04-19,2023-05-18,4042,CHF,Export Fee,Paid
INV0000254,C03786,Company,P077138,Person,2023-12-05,2024-02-04,11156,ETB,Subscription,Pending
INV0000255,P054388,Person,P021541,Person,2025-03-15,2025-04-19,11645,ETB,Logistics,Overdue
INV0000256,P065010,Person,P023397,Person,2025-02-26,2025-04-23,3100,ETB,Logistics,Paid
INV0000257,P062520,Person,P086996,Person,2024-11-08,2025-01-21,37250,ETB,Export Fee,Paid
INV0000258,P030388,Person,C06354,Company,2023-01-02,2023-01-23,17295,ETB,Import Duty,Cancelled
INV0000259,P092884,Person,P072290,Person,2024-06-02,2024-08-17,1285025,ETB,Software Development,Pending
INV0000260,P023756,Person,C04499,Company,2023-04-14,2023-04-26,7000,GBP,Professional Services,Paid
INV0000261,P091808,Person,P064210,Person,2025-04-04,2025-04-20,2188,ETB,Equipment Supply,Paid
INV0000262,P031605,Person,P056902,Person,2025-05-11,2025-08-03,1715,EUR,Professional Services,Pending
INV0000263,P018886,Person,P084331,Person,2024-01-16,2024-01-23,12237,ETB,Export Fee,Paid
INV0000264,P000672,Person,C00245,Company,2022-05-18,2022-07-19,20777,ETB,Training,Paid
INV0000265,P090705,Person,P002000,Person,2022-08-12,2022-09-14,86159,ETB,Software Development,Paid
INV0000266,P023001,Person,P029200,Person,2022-05-17,2022-07-28,1500,ETB,Subscription,Pending
INV0000267,P021868,Person,P050241,Person,2022-12-16,2023-02-14,117524,USD,Logistics,Paid
INV0000268,P073857,Person,P050738,Person,2025-02-27,2025-05-25,119572,ETB,Subscription,Pending
INV0000269,P089246,Person,C07481,Company,2023-03-05,2023-04-11,3017,ETB,Subscription,Paid
INV0000270,P038257,Person,P083942,Person,2024-04-17,2024-05-12,6899,ETB,Software Development,Paid
INV0000271,C01995,Company,P033667,Person,2022-01-26,2022-03-06,27380,ETB,Professional Services,Paid
INV0000272,P017840,Person,P073327,Person,2023-12-12,2024-02-26,12305,ETB,Subscription,Pending
INV0000273,C01355,Company,P013211,Person,2022-10-16,2022-10-25,15720,GBP,Professional Services,Paid
INV0000274,P020554,Person,P011525,Person,2024-04-11,2024-05-22,13035,ETB,Training,Paid
INV0000275,P099453,Person,P019169,Person,2025-11-05,2026-01-27,66230,ETB,Software Development,Paid
