relationship_id,source_type,source_id,relationship_type,target_type,target_id,start_time,end_time,confidence
REL0000023,Account,ACC0032178,shared_device,Person,P082533,2023-06-18T01:31:28.548672,,0.8527
REL0000024,Person,P083274,family,Account,ACC0104464,2023-08-02T15:29:36.845277,2024-12-27T22:32:07.992466,0.342
REL0000025,Account,ACC0019352,business_partner,Account,ACC0097797,2024-02-24T21:05:59.486467,,0.4603
REL0000026,Person,P007425,family,Account,ACC0136146,2023-03-21T20:51:19.555917,,0.4173
REL0000027,Account,ACC0065698,family,Person,P099320,2024-07-09T18:48:56.971513,2024-10-10T04:30:22.534079,0.9301
REL0000028,Account,ACC0053322,employer_employee,Account,ACC0073478,2022-08-05T09:08:54.688790,,0.3009
REL0000029,Account,ACC0099566,supplier_customer,Account,ACC0039977,2023-12-07T10:08:35.666673,,0.7678
REL0000030,Account,ACC0124794,shared_device,Account,ACC0049659,2025-09-23T07:35:48.183631,,0.9439
REL0000031,Account,ACC0080254,guarantor,Account,ACC0017344,2024-09-29T14:20:34.341204,2025-11-24T13:12:24.427652,0.62
REL0000032,Account,ACC0018903,guarantor,Person,P096351,2023-01-09T08:22:04.268764,,0.5254
REL0000033,Person,P028360,referral,Account,ACC0107695,2023-05-21T10:31:07.019180,,0.3638
REL0000034,Person,P056692,shared_device,Account,ACC0040602,2025-08-08T14:55:36.517288,,0.598
REL0000035,Account,ACC0104529,joint_account,Account,ACC0061304,2022-09-05T19:16:52.414355,2023-03-07T21:38:07.516702,0.7426
REL0000036,Person,P023935,employer_employee,Account,ACC0031262,2025-04-17T17:40:41.323377,,0.9791
REL0000037,Account,ACC0087027,joint_account,Person,P048485,2025-06-17T17:26:39.183007,,0.8159
REL0000038,Person,P018637,shared_address,Person,P082508,2022-11-01T04:40:00.500778,2023-01-02T23:49:46.941633,0.6844
REL0000039,Account,ACC0060175,family,Account,ACC0149112,2023-08-08T10:44:54.192217,,0.3837
REL0000040,Account,ACC0015607,family,Person,P016577,2024-05-31T03:04:58.187487,,0.6486
REL0000041,Account,ACC0090683,family,Person,P032688,2023-09-15T15:58:00.905570,,0.5287
REL0000042,Account,ACC0010979,business_partner,Person,P051708,2025-02-15T18:55:43.921163,,0.5906
REL0000043,Account,ACC0038293,family,Person,P079315,2023-05-10T10:49:13.438685,,0.9991
REL0000044,Person,P097537,supplier_customer,Account,ACC0108858,2025-03-08T21:02:08.278782,,0.817
REL0000045,Account,ACC0112799,shared_device,Account,ACC0027538,2025-11-16T10:05:56.879803,2025-12-12T16:58:44.319391,0.6395
REL0000046,Person,P050353,employer_employee,Person,P033586,2024-09-26T01:03:29.944526,,0.5178
REL0000047,Person,P037426,shared_device,Account,ACC0012386,2025-11-23T09:22:16.437779,,0.5007
REL0000048,Account,ACC0131628,guarantor,Account,ACC0087476,2024-10-16T04:15:28.007906,2025-01-21T15:26:58.255722,0.4076
REL0000049,Account,ACC0032594,employer_employee,Person,P038226,2023-05-30T23:55:08.419560,2024-11-12T04:23:59.203050,0.3425
REL0000050,Person,P052529,guarantor,Person,P031496,2022-03-26T02:11:46.163355,,0.7072
REL0000051,Person,P000762,business_partner,Account,ACC0108568,2022-07-21T10:20:29.687738,,0.3526
REL0000052,Account,ACC0135980,business_partner,Person,P060860,2023-05-01T04:57:45.767748,,0.8322
REL0000053,Account,ACC0084959,joint_account,Person,P086819,2022-08-24T19:20:52.354837,,0.5083
REL0000054,Account,ACC0031253,referral,Person,P030756,2022-08-24T13:04:57.888189,,0.9081
REL0000055,Account,ACC0001313,family,Account,ACC0077798,2022-07-16T07:46:24.143575,,0.6251
REL0000056,Person,P003531,family,Account,ACC0046539,2025-10-28T08:17:40.995744,2025-12-01T20:50:10.540596,0.3577
REL0000057,Account,ACC0142060,shared_address,Account,ACC0125366,2025-02-02T09:25:17.030910,,0.8755
REL0000058,Person,P082877,supplier_customer,Account,ACC0145127,2025-02-14T01:38:06.071340,,0.8829
REL0000059,Account,ACC0042758,employer_employee,Account,ACC0121428,2025-08-03T20:15:33.151517,,0.6815
REL0000060,Person,P015811,business_partner,Account,ACC0048925,2022-12-09T03:14:53.504918,2025-12-02T17:23:06.084499,0.532
REL0000061,Person,P003240,employer_employee,Account,ACC0097571,2023-09-01T08:33:32.710776,,0.9696
REL0000062,Account,ACC0094656,joint_account,Company,C07738,2022-01-05T10:20:41.029377,,0.4394
REL0000063,Person,P011699,supplier_customer,Account,ACC0076049,2025-06-04T18:49:07.054869,,0.68
REL0000064,Account,ACC0108738,shared_device,Person,P083287,2025-03-17T15:06:27.905764,,0.8741
REL0000065,Account,ACC0116086,employer_employee,Account,ACC0040387,2024-01-19T18:22:51.232368,,0.4791
REL0000066,Account,ACC0118090,family,Company,C03631,2025-09-09T13:25:42.299041,,0.8244
REL0000067,Person,P091644,business_partner,Account,ACC0015465,2025-12-01T11:14:19.217764,2025-12-10T00:39:56.292946,0.3924
REL0000068,Account,ACC0127772,family,Company,C08781,2024-04-17T02:41:44.130625,,0.9693
REL0000069,Person,P079115,supplier_customer,Person,P069125,2023-10-10T19:23:41.158324,,0.7486
REL0000070,Person,P083804,family,Account,ACC0028181,2023-01-11T05:23:17.406703,,0.5907
REL0000071,Account,ACC0074879,business_partner,Person,P041112,2024-11-26T07:31:33.307600,,0.6575
REL0000072,Person,P022238,guarantor,Account,ACC0110957,2025-12-29T06:42:34.043470,,0.4674
REL0000073,Person,P064762,counterpart,Account,ACC0083316,2025-02-13T00:03:22.115222,2025-03-17T11:37:09.253624,0.6475
REL0000074,Account,ACC0114757,supplier_customer,Person,P019406,2025-07-08T10:40:16.358992,,0.921
REL0000075,Account,ACC0007734,guarantor,Person,P075693,2023-08-24T02:47:00.623667,,0.7836
REL0000076,Person,P067723,business_partner,Person,P011451,2025-03-19T04:44:41.701552,2025-05-03T14:29:19.811950,0.6814
REL0000077,Person,P052398,supplier_customer,Account,ACC0121762,2023-03-14T15:31:44.335530,,0.6803
REL0000078,Person,P088210,supplier_customer,Account,ACC0004408,2025-07-23T10:51:31.732818,2025-12-07T16:24:51.283820,0.4593
REL0000079,Account,ACC0139805,referral,Person,P065695,2022-01-01T02:20:49.251204,,0.353
REL0000080,Account,ACC0025868,family,Account,ACC0057663,2024-01-01T13:13:28.869123,2024-02-24T18:57:06.367986,0.6868
REL0000081,Account,ACC0014503,family,Account,ACC0121455,2024-12-11T21:20:43.275965,,0.9084
REL0000082,Account,ACC0004830,guarantor,Person,P082210,2022-08-14T20:56:52.111157,,0.6686
REL0000083,Person,P055089,counterpart,Account,ACC0028355,2022-08-11T07:07:15.248813,,0.6904
REL0000084,Account,ACC0105157,supplier_customer,Account,ACC0082347,2025-10-20T11:43:02.594909,,0.3858
REL0000085,Account,ACC0100768,business_partner,Person,P047088,2024-10-01T00:13:37.859038,,0.7592
REL0000086,Account,ACC0015093,joint_account,Person,P045706,2022-05-16T14:24:17.514132,,0.4832
REL0000087,Person,P051379,joint_account,Account,ACC0047986,2024-03-28T05:43:26.817480,2025-12-05T20:15:54.478319,0.458
REL0000088,Account,ACC0090872,counterpart,Person,P045739,2024-09-29T21:56:13.714122,2025-10-13T22:19:36.773867,0.4026
REL0000089,Account,ACC0084057,supplier_customer,Account,ACC0048928,2024-06-11T06:18:14.269565,2024-10-19T11:55:32.866040,0.5578
REL0000090,Account,ACC0108253,shared_address,Person,P051088,2024-04-13T23:06:23.736648,2024-10-09T14:30:40.963572,0.6017
REL0000091,Account,ACC0107511,joint_account,Person,P013625,2024-06-27T01:55:26.038052,,0.4946
REL0000092,Account,ACC0107589,supplier_customer,Account,ACC0065544,2022-06-15T07:14:00.436853,2022-08-25T23:01:29.278600,0.8563
REL0000093,Account,ACC0054933,family,Account,ACC0144485,2023-05-13T14:50:48.244153,2024-05-18T21:06:23.514397,0.9731
REL0000094,Person,P056581,business_partner,Account,ACC0147282,2023-07-29T16:03:53.371575,,0.4233
REL0000095,Person,P059788,employer_employee,Account,ACC0095971,2025-11-12T03:59:12.609069,,0.8837
REL0000096,Account,ACC0000507,family,Person,P073415,2023-09-07T13:24:55.791265,,0.6152
REL0000097,Company,C07515,employer_employee,Account,ACC0103445,2024-03-27T11:18:25.705944,2025-10-22T06:32:28.289561,0.4472
REL0000098,Person,P019514,employer_employee,Person,P068819,2025-09-21T18:31:51.237552,,0.568
REL0000099,Account,ACC0011847,family,Person,P098900,2024-11-06T08:40:15.805618,2025-04-27T03:06:13.551548,0.8694
REL0000100,Account,ACC0071830,referral,Account,ACC0074133,2022-03-26T03:34:08.211491,,0.4664
REL0000101,Account,ACC0086035,family,Company,C09404,2024-08-05T12:35:47.534388,,0.9379
REL0000102,Account,ACC0062790,counterpart,Account,ACC0118024,2023-09-13T15:04:28.086859,,0.9197
REL0000103,Account,ACC0024923,counterpart,Account,ACC0008542,2025-03-28T06:21:38.164771,2025-06-24T23:57:39.058754,0.5008
REL0000104,Account,ACC0139137,shared_device,Account,ACC0137839,2022-07-27T22:29:55.262556,,0.5735
REL0000105,Account,ACC0084096,supplier_customer,Account,ACC0111486,2024-05-18T11:42:03.596782,2024-08-03T08:37:21.871419,0.8673
REL0000106,Account,ACC0134821,business_partner,Account,ACC0027369,2024-04-14T00:02:15.085830,2024-08-21T04:03:18.521831,0.4258
REL0000107,Account,ACC0118144,joint_account,Person,P035866,2023-08-09T12:50:59.694519,,0.3315
REL0000108,Account,ACC0026837,employer_employee,Person,P051894,2022-06-01T17:21:48.434325,2024-10-16T05:36:54.970589,0.3396
REL0000109,Account,ACC0043572,employer_employee,Account,ACC0010477,2025-11-09T08:46:00.068548,,0.3993
REL0000110,Person,P011437,supplier_customer,Account,ACC0012564,2023-11-01T08:21:44.823348,,0.5906
REL0000111,Account,ACC0136469,family,Account,ACC0021937,2022-04-28T06:56:13.969378,,0.7899
REL0000112,Person,P061956,referral,Person,P064859,2023-03-12T00:56:59.200488,,0.463
REL0000113,Account,ACC0084969,family,Account,ACC0090865,2023-05-28T06:55:46.174239,,0.942
REL0000114,Person,P058600,employer_employee,Account,ACC0100723,2025-01-27T02:51:58.368940,,0.3566
REL0000115,Person,P039714,employer_employee,Account,ACC0024005,2023-08-07T04:34:27.447105,,0.8077
REL0000116,Account,ACC0013964,shared_address,Person,P069935,2025-11-15T07:40:46.740134,,0.8689
REL0000117,Account,ACC0115666,employer_employee,Account,ACC0051901,2022-09-22T07:55:10.653413,2023-07-22T23:41:20.530709,0.693
REL0000118,Person,P086595,business_partner,Account,ACC0122816,2023-11-06T08:09:46.868897,2024-08-26T08:41:34.368169,0.8966
REL0000119,Person,P053785,supplier_customer,Account,ACC0026736,2023-03-03T23:04:19.445526,,0.3809
REL0000120,Person,P085763,supplier_customer,Person,P063480,2023-11-03T03:37:40.846842,,0.6504
REL0000121,Account,ACC0023559,employer_employee,Person,P077217,2024-07-28T00:12:43.629523,,0.3798
REL0000122,Account,ACC0018055,shared_device,Account,ACC0123000,2024-12-09T19:55:58.308305,,0.4447
REL0000123,Account,ACC0097799,business_partner,Account,ACC0134709,2024-03-15T11:24:45.313355,,0.3202
REL0000124,Account,ACC0143154,counterpart,Account,ACC0075336,2023-04-20T15:53:44.985596,2023-12-23T16:12:57.686815,0.3903
REL0000125,Account,ACC0049382,counterpart,Account,ACC0068308,2023-09-13T09:40:48.396192,2024-10-21T13:30:13.330915,0.9286
REL0000126,Account,ACC0101208,counterpart,Person,P060828,2022-02-03T11:14:23.290501,,0.8339
REL0000127,Person,P049601,business_partner,Account,ACC0021846,2025-02-01T11:20:11.907943,,0.8634
REL0000128,Account,ACC0079110,shared_device,Account,ACC0038227,2024-05-06T09:50:33.733938,2024-11-15T16:14:22.961964,0.8405
REL0000129,Account,ACC0020676,business_partner,Person,P029070,2025-06-21T02:14:40.488645,,0.8919
REL0000130,Account,ACC0011862,employer_employee,Account,ACC0094633,2024-03-20T05:58:55.805416,2024-12-18T17:06:58.847968,0.8359
REL0000131,Person,P099454,referral,Account,ACC0075238,2022-09-30T23:59:32.229895,,0.7545
REL0000132,Account,ACC0065679,family,Person,P055790,2024-12-13T10:31:05.423098,,0.8522
REL0000133,Person,P072444,business_partner,Person,P057314,2023-11-15T09:54:48.744809,2025-06-15T23:00:22.422965,0.8703
REL0000134,Account,ACC0051109,shared_device,Account,ACC0118337,2023-10-15T14:29:25.805043,,0.9819
REL0000135,Account,ACC0058948,joint_account,Person,P057556,2024-09-14T02:32:18.858867,,0.5712
REL0000136,Person,P082209,shared_device,Account,ACC0046784,2024-11-15T16:39:45.171101,,0.9987
REL0000137,Person,P006237,family,Person,P066792,2022-04-25T18:22:41.902233,,0.3702
REL0000138,Account,ACC0079335,employer_employee,Person,P051138,2022-05-06T10:50:36.800499,2024-05-18T02:36:42.631517,0.7297
REL0000139,Account,ACC0004711,shared_address,Person,P001638,2024-02-29T06:48:44.071325,,0.7424
REL0000140,Person,P084270,business_partner,Account,ACC0075380,2024-03-19T13:51:30.076962,2024-12-01T21:19:47.352150,0.9745
REL0000141,Account,ACC0133007,shared_device,Account,ACC0081128,2024-05-17T17:53:42.547804,,0.8321
REL0000142,Person,P094635,counterpart,Person,P068402,2025-06-04T07:50:41.331983,,0.3112
REL0000143,Person,P081254,shared_address,Person,P015134,2022-01-03T18:56:11.635914,,0.8466
REL0000144,Account,ACC0038414,family,Person,P041968,2025-08-16T03:53:17.732947,,0.4748
REL0000145,Account,ACC0026216,supplier_customer,Person,P042983,2023-02-14T06:29:41.422086,,0.8055
REL0000146,Person,P001418,family,Account,ACC0032576,2025-08-03T00:51:24.078879,,0.8685
REL0000147,Company,C03815,guarantor,Account,ACC0020312,2024-07-21T08:39:29.945076,,0.4499
REL0000148,Account,ACC0007061,joint_account,Person,P061879,2023-01-15T02:29:37.481494,2023-09-12T00:35:08.877519,0.9774
REL0000149,Account,ACC0096861,joint_account,Account,ACC0129167,2024-08-18T05:45:19.640805,2025-05-12T19:45:56.816837,0.4766
REL0000150,Person,P043164,counterpart,Account,ACC0142535,2025-04-03T03:33:43.849074,2025-12-13T02:05:33.135370,0.542
REL0000151,Account,ACC0053674,guarantor,Account,ACC0000802,2024-09-21T18:43:27.009321,,0.7472
REL0000152,Person,P001496,shared_device,Account,ACC0130363,2024-08-07T18:49:44.831019,,0.5958
REL0000153,Account,ACC0075331,family,Account,ACC0137112,2023-04-04T17:12:58.120750,,0.8381
REL0000154,Account,ACC0024856,business_partner,Account,ACC0108606,2025-03-30T02:22:37.353356,2025-05-24T16:15:43.253259,0.6077
REL0000155,Person,P050818,guarantor,Account,ACC0015979,2025-10-03T07:50:36.458786,2025-11-18T16:14:54.776833,0.6155
REL0000156,Person,P032613,supplier_customer,Company,C02303,2022-06-15T01:54:03.658981,2023-08-29T18:43:09.356295,0.512
REL0000157,Person,P073252,shared_device,Company,C04420,2022-12-02T03:34:59.173402,,0.5715
REL0000158,Person,P086791,supplier_customer,Person,P046991,2023-04-15T02:40:54.645120,2023-11-13T06:31:37.464048,0.8785
REL0000159,Account,ACC0081227,shared_address,Person,P029196,2024-02-08T20:11:43.555499,,0.9098
REL0000160,Account,ACC0036955,supplier_customer,Account,ACC0117062,2024-11-15T20:11:42.148331,,0.6992
REL0000161,Company,C08149,counterpart,Account,ACC0017443,2025-05-23T02:11:12.421963,,0.6019
REL0000162,Account,ACC0131537,shared_device,Company,C06198,2022-06-29T08:43:23.623573,,0.5184
REL0000163,Person,P005969,supplier_customer,Account,ACC0022396,2023-11-13T23:35:30.338683,2024-04-15T19:45:52.588672,0.4211
REL0000164,Account,ACC0135881,shared_device,Person,P030534,2025-04-23T10:18:26.185004,,0.5578
REL0000165,Company,C07812,counterpart,Account,ACC0023084,2024-05-07T07:00:04.168791,,0.6916
REL0000166,Person,P053815,employer_employee,Account,ACC0032341,2024-08-08T12:51:45.854351,,0.6613
REL0000167,Account,ACC0004045,supplier_customer,Person,P011179,2022-06-02T16:51:07.897794,2023-01-12T04:39:49.502782,0.4822
REL0000168,Account,ACC0020496,shared_address,Account,ACC0041532,2025-09-26T14:18:55.012397,2025-11-09T12:44:35.765852,0.7359
REL0000169,Person,P065921,shared_device,Account,ACC0074501,2024-10-25T18:05:20.815544,2025-04-03T04:32:14.231729,0.4628
REL0000170,Account,ACC0131323,family,Company,C05217,2024-02-17T12:48:39.537052,,0.3329
REL0000171,Account,ACC0127838,employer_employee,Person,P074159,2022-07-26T07:43:36.619246,,0.4513
REL0000172,Account,ACC0089309,shared_device,Account,ACC0021055,2024-09-23T11:23:45.036730,,0.6111
REL0000173,Account,ACC0043290,referral,Account,ACC0042455,2022-10-28T20:57:48.611619,2025-10-01T14:49:55.300601,0.3619
REL0000174,Account,ACC0012081,family,Account,ACC0036107,2022-08-27T14:39:42.231922,2023-03-01T22:53:22.123911,0.8392
REL0000175,Account,ACC0142481,counterpart,Person,P019634,2025-01-28T15:18:21.516122,,0.6016
REL0000176,Account,ACC0070985,business_partner,Person,P045518,2023-08-17T08:27:01.519338,,0.7708
REL0000177,Account,ACC0139531,family,Account,ACC0063447,2022-06-13T13:18:33.619457,,0.4565
REL0000178,Account,ACC0018330,employer_employee,Account,ACC0005478,2023-08-03T20:43:54.475317,,0.6259
REL0000179,Person,P032351,guarantor,Account,ACC0007244,2022-02-05T19:23:47.897538,,0.4509
REL0000180,Account,ACC0055721,guarantor,Person,P022465,2023-03-19T00:53:39.287581,,0.5562
REL0000181,Account,ACC0039652,counterpart,Person,P097833,2025-03-05T01:09:41.865595,,0.6293
REL0000182,Person,P089194,employer_employee,Person,P080018,2025-07-11T19:39:11.701185,2025-09-21T11:28:46.315184,0.3387
REL0000183,Person,P011938,shared_address,Person,P007769,2025-01-06T22:50:54.438264,,0.8732
REL0000184,Company,C05452,referral,Account,ACC0106806,2024-05-11T05:22:07.267180,,0.3568
REL0000185,Company,C03966,guarantor,Account,ACC0046717,2023-02-22T11:58:45.336896,2024-02-29T05:40:29.229851,0.9447
REL0000186,Account,ACC0037432,employer_employee,Account,ACC0113596,2023-06-02T08:14:00.567384,,0.9142
REL0000187,Person,P081915,shared_device,Company,C06431,2022-07-20T23:45:47.919718,,0.7289
REL0000188,Account,ACC0025097,family,Person,P008550,2022-06-02T04:30:18.772840,2024-08-22T01:24:40.077976,0.9334
REL0000189,Account,ACC0077225,employer_employee,Account,ACC0127135,2024-09-05T10:52:29.420383,,0.8571
REL0000190,Person,P044406,joint_account,Company,C09589,2023-08-30T22:23:23.169211,,0.9755
REL0000191,Person,P070033,shared_address,Account,ACC0113976,2025-01-08T05:54:03.725511,,0.5476
REL0000192,Account,ACC0115561,family,Account,ACC0145290,2025-04-22T18:31:46.294294,,0.9019
REL0000193,Person,P064154,guarantor,Account,ACC0107908,2024-03-02T13:17:57.631585,,0.5356
REL0000194,Person,P031379,joint_account,Person,P050106,2025-03-07T20:24:19.077225,2025-12-16T09:42:09.762038,0.7625
REL0000195,Person,P041408,employer_employee,Person,P055102,2025-12-06T04:39:33.572645,,0.8203
REL0000196,Account,ACC0072989,joint_account,Account,ACC0072817,2022-06-30T21:14:05.412141,,0.3426
REL0000197,Person,P069246,supplier_customer,Account,ACC0018039,2023-01-24T05:55:49.969280,2025-06-08T13:32:36.438477,0.784
REL0000198,Company,C02169,supplier_customer,Person,P075670,2022-10-21T14:50:06.384754,,0.8536
REL0000199,Person,P076033,shared_device,Person,P009807,2022-09-12T19:44:52.708640,,0.4497
REL0000200,Account,ACC0023609,family,Account,ACC0025357,2023-01-25T07:29:45.407691,,0.7884
REL0000201,Person,P080970,supplier_customer,Person,P002520,2024-08-18T15:43:25.007731,,0.9123
REL0000202,Person,P068775,supplier_customer,Account,ACC0084443,2025-05-08T02:20:26.925326,,0.7791
REL0000203,Account,ACC0002855,business_partner,Person,P020383,2024-01-08T08:10:57.410484,,0.9061
REL0000204,Account,ACC0009777,business_partner,Person,P081484,2025-03-27T01:50:08.079044,2025-07-26T01:36:45.269698,0.5834
REL0000205,Person,P096696,shared_address,Account,ACC0016987,2022-06-24T11:13:12.335106,2023-05-17T05:50:16.020614,0.584
REL0000206,Person,P019567,joint_account,Person,P077605,2022-02-25T06:34:03.414516,,0.3575
REL0000207,Account,ACC0135492,supplier_customer,Account,ACC0116726,2023-03-24T10:23:28.406344,2025-06-09T08:30:11.641857,0.684
REL0000208,Person,P021433,employer_employee,Account,ACC0051459,2023-01-30T21:06:43.713928,,0.8035
REL0000209,Account,ACC0103907,joint_account,Person,P070987,2023-04-09T07:26:05.957434,,0.4507
REL0000210,Account,ACC0098494,counterpart,Person,P090212,2022-03-06T17:41:03.378643,,0.9117
REL0000211,Person,P038518,family,Account,ACC0143521,2025-07-06T00:31:33.304531,,0.6581
REL0000212,Person,P084188,guarantor,Account,ACC0128201,2022-01-24T20:22:57.079729,,0.5129
REL0000213,Account,ACC0090770,employer_employee,Person,P036802,2024-12-20T07:28:29.224215,,0.6025
REL0000214,Person,P008750,supplier_customer,Account,ACC0034204,2023-02-02T11:11:26.945587,,0.6647
REL0000215,Person,P014760,supplier_customer,Account,ACC0058521,2023-12-17T14:37:04.633925,2025-06-14T00:29:08.951974,0.5157
REL0000216,Account,ACC0116313,counterpart,Company,C04473,2022-02-18T09:05:26.437347,,0.3891
REL0000217,Account,ACC0114563,employer_employee,Account,ACC0087533,2024-12-08T01:48:03.857927,,0.6937
REL0000218,Person,P036789,employer_employee,Account,ACC0009174,2023-06-07T17:25:25.371096,,0.554
REL0000219,Person,P065785,joint_account,Person,P002940,2023-02-27T14:12:05.416810,,0.6414
REL0000220,Account,ACC0139429,family,Account,ACC0026193,2023-11-04T17:02:29.190914,2024-05-10T08:07:55.333670,0.9821
REL0000221,Person,P065775,shared_address,Account,ACC0116740,2023-02-08T21:59:17.136411,2024-04-07T17:59:10.553951,0.4148
REL0000222,Account,ACC0048996,employer_employee,Person,P051632,2024-08-10T01:08:02.579605,,0.4946
REL0000223,Account,ACC0038126,guarantor,Account,ACC0045322,2022-06-28T14:10:12.789231,,0.4723
REL0000224,Account,ACC0105087,employer_employee,Person,P033074,2022-02-15T20:24:11.483605,,0.3261
REL0000225,Account,ACC0102803,employer_employee,Account,ACC0052543,2023-10-24T23:08:06.268445,2024-07-08T17:30:50.139186,0.9143
REL0000226,Account,ACC0146989,shared_device,Person,P035569,2022-04-22T05:34:45.888261,2023-09-10T18:32:56.560971,0.7748
REL0000227,Account,ACC0047737,family,Person,P050767,2025-07-12T03:08:30.338972,,0.9886
REL0000228,Person,P093756,shared_address,Person,P018449,2025-09-05T17:10:22.310150,,0.6711
REL0000229,Account,ACC0076670,employer_employee,Person,P084205,2025-09-25T13:24:49.790977,,0.8063
REL0000230,Account,ACC0091380,counterpart,Account,ACC0054890,2023-10-26T02:41:52.589578,,0.7287
REL0000231,Account,ACC0104836,supplier_customer,Account,ACC0039283,2023-08-28T12:36:37.427784,,0.8052
REL0000232,Person,P092416,shared_address,Person,P004707,2025-03-14T15:17:16.047500,,0.7395
REL0000233,Person,P009075,supplier_customer,Account,ACC0032123,2022-01-19T00:26:13.779454,2024-01-29T20:08:44.755612,0.3541
REL0000234,Account,ACC0052120,counterpart,Account,ACC0113844,2023-10-30T22:08:25.007146,,0.4329
REL0000235,Account,ACC0121205,guarantor,Account,ACC0091021,2025-10-11T06:01:14.420776,2025-11-26T10:19:48.940740,0.9713
REL0000236,Account,ACC0127429,employer_employee,Account,ACC0076638,2022-09-21T20:32:37.698398,,0.3191
REL0000237,Account,ACC0065669,shared_device,Account,ACC0000109,2023-06-26T14:23:29.490416,,0.5307
REL0000238,Person,P005341,business_partner,Person,P047525,2022-10-10T19:12:44.824334,,0.3107
REL0000239,Person,P089174,employer_employee,Person,P051695,2025-04-15T03:52:14.608326,,0.5751
REL0000240,Account,ACC0101969,supplier_customer,Account,ACC0083335,2022-04-29T20:39:43.827618,,0.9182
REL0000241,Account,ACC0072913,employer_employee,Account,ACC0020017,2023-08-21T22:29:08.248825,,0.3455
REL0000242,Person,P061749,family,Person,P064180,2022-05-25T20:58:07.859809,,0.7141
REL0000243,Account,ACC0070437,business_partner,Person,P085856,2024-02-02T20:40:52.368533,,0.8054
REL0000244,Company,C03532,supplier_customer,Account,ACC0078939,2023-06-11T03:20:00.460073,,0.4073
REL0000245,Account,ACC0142945,business_partner,Person,P003500,2025-09-19T21:56:55.753570,,0.9329
REL0000246,Account,ACC0081454,business_partner,Account,ACC0106957,2022-11-28T13:19:24.917719,2022-12-06T18:32:39.611649,0.5403
REL0000247,Account,ACC0115939,counterpart,Account,ACC0092591,2023-07-10T09:13:10.491461,,0.7834
REL0000248,Account,ACC0074345,family,Account,ACC0115287,2025-10-16T08:13:59.837735,,0.5752
REL0000249,Account,ACC0000948,joint_account,Account,ACC0062983,2022-08-21T13:03:09.268252,,0.538
REL0000250,Account,ACC0074172,business_partner,Account,ACC0121101,2022-08-05T15:50:45.160149,,0.6129
REL0000251,Person,P065706,employer_employee,Account,ACC0065188,2025-09-15T20:43:04.362816,2025-10-24T03:02:19.981428,0.9716
REL0000252,Account,ACC0039130,shared_address,Account,ACC0021545,2025-07-08T07:32:31.548090,,0.4457
REL0000253,Company,C00465,joint_account,Account,ACC0131175,2023-01-21T01:19:51.707501,2025-09-03T21:53:43.896033,0.9742
REL0000254,Person,P001284,joint_account,Account,ACC0128427,2022-11-02T14:30:12.790124,,0.509
REL0000255,Person,P029327,family,Account,ACC0035448,2025-11-30T16:25:26.247600,2025-12-30T20:27:14.667955,0.6242
